ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	False	True	38071	False
2	True	True	False	False	False	12523	False
3	True	False	True	False	True	6220	False
4	True	False	True	False	True	6233	False
5	True	False	True	True	False	20349	False
6	True	False	True	True	False	20955	False
7	True	False	True	False	True	97426	False
8	True	True	False	False	False	72660	False
9	True	True	False	False	False	6391	False
10	True	False	True	False	True	12582	False
11	True	False	True	False	True	12650	False
12	True	False	True	True	False	33636	False
13	True	False	True	False	True	12586	False
14	True	False	True	True	False	29377	False
15	True	False	True	True	False	23480	False
16	True	False	True	True	False	49918	False
17	True	False	True	True	False	35591	False
18	True	False	True	True	False	37765	False
19	True	False	True	True	False	26193	False
20	True	False	True	True	False	35012	False
21	True	True	False	False	False	178714	False
22	True	False	True	False	True	20314	False
23	True	False	True	True	False	8664	False
24	True	False	True	True	False	8679	False
25	True	False	True	True	False	36237	False
26	True	False	True	True	False	24499	False
27	True	False	True	True	False	32769	False
28	True	False	True	True	False	8712	False
29	True	False	True	True	False	9567	False
30	True	False	True	True	False	8109	False
31	True	False	True	True	False	7861	False
32	True	False	True	True	False	9717	False
33	True	False	True	True	False	19084	False
34	True	False	True	True	False	21020	False
35	True	False	True	True	False	29089	False
36	True	False	True	True	False	30272	False
37	True	False	True	False	True	11984	False
38	False	False	False	False	False	179500	False
39	True	False	True	True	False	26458	False
40	True	False	True	False	True	12187	False
41	True	True	False	False	False	402393	False
42	True	True	False	False	False	155827	False
43	False	False	False	False	False	374190	False
44	True	False	True	False	True	45829	False
45	True	False	True	True	False	33139	False
46	False	False	False	False	False	298064	False
47	False	False	False	False	False	17527	False
48	False	False	False	False	False	12679	False
49	False	False	False	False	False	11822	False
50	False	False	False	False	False	11547	False
51	False	False	False	False	False	12846	False
52	False	False	False	False	False	280960	False
53	False	False	False	False	False	15600	False
54	False	False	False	False	False	11166	False
55	False	False	False	False	False	9778	False
56	False	False	False	False	False	10182	False
57	False	False	False	False	False	10898	False
58	True	False	True	False	True	38264	False
59	False	False	False	False	False	385100	False
60	True	False	True	True	False	50681	False
61	True	False	True	True	False	39948	False
62	True	False	True	True	False	40171	False
63	False	False	False	False	False	11329	False
64	False	False	False	False	False	31053	False
65	False	False	False	False	False	11251	False
66	False	False	False	False	False	11129	False
67	False	False	False	False	False	11348	False
68	False	False	False	False	False	9675	False
69	False	False	False	False	False	28377	False
70	False	False	False	False	False	16749	False
71	True	False	True	True	False	54692	False
72	True	True	False	False	False	92434	False
73	True	False	True	True	False	32522	False
