ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	5	3390	0	1697	5087	0.021207	openai/gpt-5.1
2	6	4386	0	1906	6292	0.024542	openai/gpt-5.1
3	10	6720	0	2382	9102	0.032220	openai/gpt-5.1
4	0	0	0	0	0	0.000000	openai/gpt-5.1
5	2	847	0	642	1489	0.007479	openai/gpt-5.1
6	2	764	0	536	1300	0.006315	openai/gpt-5.1
7	25	23998	0	9704	33702	0.127038	openai/gpt-5.1
8	12	8482	0	4228	12710	0.052883	openai/gpt-5.1
9	12	0	0	0	0	0.000000	openai/gpt-5.1
10	0	0	0	0	0	0.000000	openai/gpt-5.1
11	0	0	0	0	0	0.000000	openai/gpt-5.1
12	2	798	0	620	1418	0.007198	openai/gpt-5.1
13	0	0	0	0	0	0.000000	openai/gpt-5.1
14	5	2972	0	1977	4949	0.023485	openai/gpt-5.1
15	3	1459	0	895	2354	0.010774	openai/gpt-5.1
16	5	2962	0	1886	4848	0.022563	openai/gpt-5.1
17	3	1469	0	1304	2773	0.014876	openai/gpt-5.1
18	3	1465	0	934	2399	0.011171	openai/gpt-5.1
19	3	1585	0	1086	2671	0.012841	openai/gpt-5.1
20	3	1585	0	1130	2715	0.013281	openai/gpt-5.1
21	33	23987	1152	15866	41005	0.188788	openai/gpt-5.1
22	2	1073	0	946	2019	0.010801	openai/gpt-5.1
23	1	549	0	138	687	0.002066	openai/gpt-5.1
24	1	549	0	138	687	0.002066	openai/gpt-5.1
25	2	1205	0	1072	2277	0.012226	openai/gpt-5.1
26	4	2945	0	1314	4259	0.016821	openai/gpt-5.1
27	2	697	0	449	1146	0.005361	openai/gpt-5.1
28	1	599	0	188	787	0.002629	openai/gpt-5.1
29	1	599	0	190	789	0.002649	openai/gpt-5.1
30	1	504	0	95	599	0.001580	openai/gpt-5.1
31	1	504	0	96	600	0.001590	openai/gpt-5.1
32	1	669	0	270	939	0.003536	openai/gpt-5.1
33	2	847	0	557	1404	0.006629	openai/gpt-5.1
34	2	847	0	489	1336	0.005949	openai/gpt-5.1
35	2	1423	0	1219	2642	0.013969	openai/gpt-5.1
36	2	986	0	593	1579	0.007163	openai/gpt-5.1
37	0	0	0	0	0	0.000000	openai/gpt-5.1
38	51	34057	0	9134	43191	0.133911	openai/gpt-5.1
39	3	4564	0	1222	5786	0.017925	openai/gpt-5.1
40	0	0	0	0	0	0.000000	openai/gpt-5.1
41	51	43186	0	11945	55131	0.173433	openai/gpt-5.1
42	18	11926	0	5043	16969	0.065338	openai/gpt-5.1
43	51	40966	0	9663	50629	0.147838	openai/gpt-5.1
44	4	1562	0	1015	2577	0.012103	openai/gpt-5.1
45	3	4127	0	1449	5576	0.019649	openai/gpt-5.1
46	51	75240	0	16357	91597	0.257620	openai/gpt-5.1
47	51	0	0	0	0	0.000000	openai/gpt-5.1
48	51	0	0	0	0	0.000000	openai/gpt-5.1
49	51	0	0	0	0	0.000000	openai/gpt-5.1
50	51	0	0	0	0	0.000000	openai/gpt-5.1
51	51	0	0	0	0	0.000000	openai/gpt-5.1
52	51	62773	0	16154	78927	0.240006	openai/gpt-5.1
53	51	0	0	0	0	0.000000	openai/gpt-5.1
54	51	0	0	0	0	0.000000	openai/gpt-5.1
55	51	0	0	0	0	0.000000	openai/gpt-5.1
56	51	0	0	0	0	0.000000	openai/gpt-5.1
57	51	0	0	0	0	0.000000	openai/gpt-5.1
58	10	5792	0	2052	7844	0.027760	openai/gpt-5.1
59	51	47223	0	22417	69640	0.283199	openai/gpt-5.1
60	4	13718	0	595	14313	0.023098	openai/gpt-5.1
61	4	302	0	429	731	0.004668	openai/gpt-5.1
62	4	306	0	437	743	0.004753	openai/gpt-5.1
63	51	0	0	0	0	0.000000	openai/gpt-5.1
64	51	2436	0	593	3029	0.008975	openai/gpt-5.1
65	51	0	0	0	0	0.000000	openai/gpt-5.1
66	51	0	0	0	0	0.000000	openai/gpt-5.1
67	51	0	0	0	0	0.000000	openai/gpt-5.1
68	51	0	0	0	0	0.000000	openai/gpt-5.1
69	51	2072	0	538	2610	0.007970	openai/gpt-5.1
70	51	0	0	0	0	0.000000	openai/gpt-5.1
71	4	3034	0	2785	5819	0.031643	openai/gpt-5.1
72	14	9808	0	6522	16330	0.077480	openai/gpt-5.1
73	3	2052	0	713	2765	0.009695	openai/gpt-5.1
