ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	38071	false
2	true	true	false	false	false	12523	false
3	true	false	true	false	true	6220	false
4	true	false	true	false	true	6233	false
5	true	false	true	true	false	20349	false
6	true	false	true	false	true	20955	false
7	true	false	true	false	true	97426	false
8	true	true	false	false	false	72660	false
9	true	true	false	false	false	6391	false
10	true	false	true	false	true	12582	false
11	true	false	true	false	true	12650	false
12	true	false	true	true	false	33636	false
13	true	false	true	false	true	12586	false
14	true	false	true	true	false	29377	false
15	true	false	true	true	false	23480	false
16	true	false	true	true	false	49918	false
17	true	false	true	true	false	35591	false
18	true	false	true	true	false	37765	false
19	true	false	true	true	false	26193	false
20	true	false	true	true	false	35012	false
21	true	true	false	false	false	178714	false
22	true	false	true	false	true	20314	false
23	true	false	true	true	false	8664	false
24	true	false	true	true	false	8679	false
25	true	false	true	false	true	36237	false
26	true	false	true	true	false	24499	false
27	true	false	true	true	false	32769	false
28	true	false	true	true	false	8712	false
29	true	false	true	true	false	9567	false
30	true	false	true	true	false	8109	false
31	true	false	true	true	false	7861	false
32	true	false	true	true	false	9717	false
33	true	false	true	true	false	19084	false
34	true	false	true	true	false	21020	false
35	true	false	true	true	false	29089	false
36	true	false	true	false	true	30272	false
37	true	false	true	false	true	11984	false
38	false	false	false	false	false	179500	false
39	true	false	true	true	false	26458	false
40	true	false	true	false	true	12187	false
41	true	true	false	false	false	402393	false
42	true	true	false	false	false	155827	false
43	false	false	false	false	false	374190	false
44	true	false	true	false	true	45829	false
45	true	false	true	true	false	33139	false
46	false	false	false	false	false	298064	false
47	false	false	false	false	false	17527	false
48	false	false	false	false	false	12679	false
49	false	false	false	false	false	11822	false
50	false	false	false	false	false	11547	false
51	false	false	false	false	false	12846	false
52	false	false	false	false	false	280960	false
53	false	false	false	false	false	15600	false
54	false	false	false	false	false	11166	false
55	false	false	false	false	false	9778	false
56	false	false	false	false	false	10182	false
57	false	false	false	false	false	10898	false
58	true	false	true	false	true	38264	false
59	false	false	false	false	false	385100	false
60	true	false	true	true	false	50681	false
61	true	false	true	true	false	39948	false
62	true	false	true	true	false	40171	false
63	false	false	false	false	false	11329	false
64	false	false	false	false	false	31053	false
65	false	false	false	false	false	11251	false
66	false	false	false	false	false	11129	false
67	false	false	false	false	false	11348	false
68	false	false	false	false	false	9675	false
69	false	false	false	false	false	28377	false
70	false	false	false	false	false	16749	false
71	true	false	true	true	false	54692	false
72	true	true	false	false	false	92434	false
73	true	false	true	true	false	32522	false
