ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	true	false	false	false	95425	2147483647
2	true	false	true	true	false	151756	72
3	true	false	true	true	false	72319	71
4	true	false	true	false	true	96912	71
5	true	false	true	true	false	62791	70
6	true	false	true	true	false	63394	69
7	true	false	true	true	false	122051	68
8	true	false	true	true	false	113639	66
9	false	false	false	false	false	64226	2147483647
10	true	false	true	true	false	93569	65
11	true	false	true	false	true	48391	67
12	true	false	true	true	false	54013	64
13	true	false	true	true	false	56413	63
14	true	false	true	true	false	106865	62
15	true	false	true	true	false	60992	61
16	true	false	true	true	false	57971	59
17	false	false	false	false	false	52338	2147483647
18	true	false	true	true	false	84345	58
19	true	false	true	true	false	102098	57
20	true	false	true	true	false	57812	56
21	true	false	true	true	false	92428	55
22	true	false	true	true	false	203872	54
23	true	false	true	true	false	69670	52
24	true	false	true	true	false	191102	51
25	true	false	true	true	false	117124	50
26	false	false	false	false	false	53462	2147483647
27	true	false	true	true	false	149980	49
28	true	false	true	true	false	66520	47
29	false	false	false	false	false	64485	2147483647
30	true	false	true	true	false	104075	45
31	true	false	true	true	false	114306	44
32	true	false	true	true	false	60237	43
33	true	false	true	true	false	126505	41
34	false	false	false	false	false	65624	2147483647
35	true	false	true	true	false	91699	40
36	true	false	true	true	false	61564	39
37	true	false	true	true	false	86330	38
38	true	false	true	false	true	115635	54
39	true	false	true	true	false	63556	37
40	true	true	false	false	false	95104	2147483647
41	true	false	true	true	false	66670	36
42	false	false	false	false	false	114727	2147483647
43	true	true	false	false	false	68788	2147483647
44	true	false	true	true	false	53003	35
45	true	false	true	true	false	74893	34
46	true	false	true	true	false	67827	33
47	true	false	true	true	false	68145	32
48	true	false	true	true	false	81848	30
49	true	false	true	true	false	112554	29
50	true	false	true	false	true	138388	29
51	true	false	true	true	false	266371	28
52	true	false	true	true	false	57786	27
53	true	false	true	true	false	71678	24
54	true	false	true	true	false	91760	23
55	true	false	true	true	false	87615	22
56	false	false	false	false	false	107850	2147483647
57	true	true	false	false	false	357774	2147483647
58	true	false	true	true	false	146921	21
59	true	false	true	true	false	183561	20
60	true	false	true	true	false	83473	19
61	true	false	true	true	false	186262	17
62	false	false	false	false	false	65938	2147483647
63	false	false	false	false	false	64187	2147483647
64	true	false	true	true	false	297161	15
65	true	false	true	true	false	85571	14
66	true	false	true	true	false	132022	12
67	true	false	true	true	false	183531	9
68	false	false	false	false	false	62604	2147483647
69	false	false	false	false	false	77513	2147483647
70	true	false	true	false	true	124873	9
71	true	false	true	true	false	66375	8
72	true	false	true	true	false	76930	7
73	true	false	true	true	false	107151	6
