ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	78903	false
2	true	false	true	true	false	130092	false
3	true	false	true	true	false	36173	false
4	true	false	true	false	true	64887	false
5	true	false	true	true	false	85803	false
6	true	false	true	true	false	46293	false
7	true	true	false	false	false	81457	false
8	true	true	false	false	false	76738	false
9	true	false	true	true	false	67068	false
10	true	false	true	false	true	48376	false
11	true	false	true	true	false	164756	false
12	true	false	true	true	false	39005	false
13	true	false	true	false	true	38362	false
14	true	false	true	true	false	90242	false
15	false	false	false	false	false	39858	false
16	true	false	true	true	false	44895	false
17	true	false	true	true	false	66080	false
18	true	false	true	true	false	104884	false
19	true	false	true	true	false	33652	false
20	true	false	true	true	false	79211	false
21	true	false	true	true	false	34368	false
22	true	false	true	true	false	55948	false
23	true	false	true	true	false	35529	false
24	true	false	true	true	false	32514	false
25	true	false	true	true	false	59204	false
26	true	false	true	true	false	67041	false
27	true	false	true	true	false	51559	false
28	true	true	false	false	false	118655	false
29	true	false	true	true	false	36980	false
30	true	false	true	true	false	124687	false
31	true	false	true	true	false	30627	false
32	true	false	true	true	false	40315	false
33	true	false	true	true	false	52050	false
34	true	false	true	true	false	59489	false
35	true	false	true	true	false	67571	false
36	true	false	true	true	false	74922	false
37	false	false	false	false	false	93454	false
38	true	false	true	true	false	39954	false
39	true	false	true	false	true	65157	false
40	true	false	true	true	false	86676	false
41	true	false	true	true	false	37886	false
42	true	false	true	true	false	33014	false
43	true	false	true	true	false	32748	false
44	true	false	true	true	false	101429	false
45	true	false	true	true	false	70219	false
46	true	false	true	true	false	44912	false
47	true	false	true	true	false	53337	false
48	true	false	true	true	false	50269	false
49	true	false	true	true	false	68089	false
50	true	false	true	false	true	92974	false
51	true	false	true	true	false	78101	false
52	true	false	true	true	false	39485	false
53	true	true	false	false	false	97581	false
54	true	false	true	true	false	53937	false
55	true	false	true	true	false	36373	false
56	true	false	true	true	false	76047	true
57	true	false	true	true	false	33993	false
58	true	true	false	false	false	90687	false
59	true	false	true	true	false	59656	false
60	true	false	true	true	false	35286	false
61	true	false	true	true	false	88376	false
62	false	false	false	false	false	126859	false
63	true	false	true	true	false	38357	false
64	true	false	true	true	false	41896	false
65	true	false	true	true	false	47310	false
66	true	false	true	true	false	47040	false
67	true	false	true	true	false	144286	false
68	true	false	true	true	false	61443	false
69	true	false	true	true	false	35685	false
70	false	false	false	false	false	246687	false
71	true	false	true	true	false	56056	false
72	true	false	true	false	true	45369	false
73	true	false	true	true	false	53978	false
