ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	false	true	15797	73
2	true	false	true	true	false	8247	72
3	true	false	true	true	false	8317	71
4	true	false	true	true	false	8319	70
5	true	false	true	true	false	9119	69
6	true	false	true	true	false	8736	68
7	true	false	true	true	false	9063	67
8	true	false	true	true	false	10472	66
9	true	false	true	true	false	9514	65
10	true	true	false	false	false	9017	2147483647
11	true	false	false	false	false	8764	65
12	true	false	true	true	false	8025	64
13	true	false	false	false	false	10804	64
14	true	false	true	true	false	9554	63
15	true	true	false	false	false	11808	2147483647
16	true	false	true	true	false	9902	62
17	true	true	false	false	false	11117	2147483647
18	true	false	true	true	false	11459	61
19	true	true	false	false	false	9429	2147483647
20	true	true	false	false	false	8787	2147483647
21	true	false	true	true	false	7745	60
22	false	false	false	false	false	8609	2147483647
23	true	false	true	true	false	6626	58
24	true	false	true	false	true	10867	58
25	true	true	false	false	false	7142	2147483647
26	true	false	false	false	true	8047	59
27	true	false	true	true	false	6891	57
28	true	false	true	true	false	7321	55
29	true	false	true	false	true	9876	55
30	true	false	true	true	false	10634	53
31	true	false	true	false	true	9621	53
32	true	false	true	true	false	9166	52
33	true	false	true	true	false	8475	50
34	true	false	true	false	true	8400	50
35	true	false	true	true	false	6293	49
36	true	false	true	true	false	8815	48
37	true	false	true	false	true	6153	48
38	true	false	true	true	false	6388	47
39	true	false	true	true	false	5993	46
40	true	false	false	false	false	5812	46
41	true	false	true	false	true	6251	46
42	true	false	true	true	false	5797	45
43	true	false	true	true	false	13857	44
44	true	false	true	true	false	6065	43
45	true	false	true	true	false	6072	42
46	true	false	true	true	false	5877	41
47	true	false	true	true	false	12401	37
48	true	false	true	false	true	13002	37
49	true	false	true	false	true	11328	37
50	true	false	true	false	true	13501	37
51	true	false	true	true	false	6033	36
52	true	false	true	true	false	5965	35
53	true	false	true	true	false	11329	31
54	true	false	true	false	true	11334	31
55	true	false	true	false	true	12331	31
56	true	false	true	false	true	12576	31
57	true	false	true	true	false	6042	30
58	true	true	false	false	false	6109	2147483647
59	true	false	true	true	false	5997	29
60	true	false	true	true	false	7647	28
61	true	false	true	true	false	7667	27
62	true	false	true	true	false	7965	26
63	true	false	true	true	false	6044	24
64	true	false	true	false	true	8186	24
65	true	false	true	true	false	8415	23
66	true	false	true	true	false	8560	22
67	true	false	true	true	false	7198	21
68	true	false	true	true	false	5839	19
69	true	false	true	false	true	7643	19
70	true	false	false	false	false	8144	19
71	true	false	true	false	true	6231	19
72	true	false	true	true	false	5970	18
73	true	false	true	true	false	5885	17
