ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	false	true	10501	false
2	true	false	true	true	false	9047	false
3	true	false	true	true	false	9527	false
4	true	false	true	true	false	9333	false
5	true	false	true	true	false	9881	false
6	true	false	true	true	false	9849	false
7	true	false	true	true	false	9359	false
8	true	false	true	true	false	8838	false
9	true	false	true	true	false	11708	false
10	true	true	false	false	false	8584	false
11	true	false	false	false	false	8542	false
12	true	false	true	true	false	10775	false
13	true	false	false	false	false	8971	false
14	true	false	true	true	false	8360	false
15	true	false	true	true	false	8632	false
16	true	false	true	true	false	11278	false
17	true	false	true	true	false	10493	false
18	true	true	false	false	false	8701	false
19	true	true	false	false	false	8283	false
20	true	true	false	false	false	8738	false
21	true	false	true	true	false	8976	false
22	true	true	false	false	false	15999	false
23	true	false	true	true	false	8284	false
24	true	false	true	false	true	17629	false
25	true	true	false	false	false	9263	false
26	true	false	false	false	true	8341	false
27	true	false	true	true	false	9240	false
28	true	false	true	true	false	9202	false
29	true	false	true	true	false	9782	false
30	true	false	true	true	false	9520	false
31	true	false	true	true	false	8020	false
32	true	false	true	true	false	9670	false
33	true	false	true	true	false	8403	false
34	true	false	true	true	false	10549	false
35	true	false	true	true	false	13419	false
36	true	false	true	false	true	10516	false
37	true	false	true	false	true	8654	false
38	true	false	true	true	false	8081	false
39	true	false	true	true	false	8372	false
40	true	false	false	false	false	8460	false
41	true	false	true	false	true	9109	false
42	true	false	true	true	false	8533	false
43	true	false	true	true	false	10660	false
44	true	false	true	true	false	7486	false
45	true	false	true	true	false	10654	false
46	true	false	true	true	false	10245	false
47	true	false	true	true	false	10018	false
48	true	false	true	true	false	11491	false
49	true	false	true	true	false	9707	false
50	true	false	true	false	true	9057	false
51	true	false	true	true	false	8888	false
52	true	false	true	true	false	8642	false
53	true	false	true	true	false	9394	false
54	true	false	true	true	false	12393	false
55	true	false	true	true	false	11417	false
56	true	false	true	true	false	9726	false
57	true	false	true	true	false	8723	false
58	true	true	false	false	false	8817	false
59	true	false	true	true	false	8309	false
60	true	false	true	true	false	7695	false
61	true	false	true	true	false	8442	false
62	true	false	true	true	false	7551	false
63	true	false	true	true	false	7006	false
64	true	false	true	true	false	8856	false
65	true	false	false	false	true	9834	false
66	true	false	false	false	true	7189	false
67	true	false	true	true	false	7838	false
68	true	false	true	true	false	9233	false
69	true	false	true	true	false	8564	false
70	true	false	false	false	false	7875	false
71	true	false	true	false	true	8367	false
72	true	false	true	true	false	8011	false
73	true	false	true	true	false	8317	false
