ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	390	0	87	477	0.001358	openai/gpt-5.1
2	1	402	0	97	499	0.001472	openai/gpt-5.1
3	1	474	0	155	629	0.002143	openai/gpt-5.1
4	1	421	0	139	560	0.001916	openai/gpt-5.1
5	1	459	0	121	580	0.001784	openai/gpt-5.1
6	1	292	0	98	390	0.001345	openai/gpt-5.1
7	1	435	0	142	577	0.001964	openai/gpt-5.1
8	1	408	0	83	491	0.001340	openai/gpt-5.1
9	1	433	0	108	541	0.001621	openai/gpt-5.1
10	1	440	0	114	554	0.001690	openai/gpt-5.1
11	1	493	0	206	699	0.002676	openai/gpt-5.1
12	1	367	0	156	523	0.002019	openai/gpt-5.1
13	1	470	0	81	551	0.001398	openai/gpt-5.1
14	1	397	0	109	506	0.001586	openai/gpt-5.1
15	1	409	0	115	524	0.001661	openai/gpt-5.1
16	1	409	0	104	513	0.001551	openai/gpt-5.1
17	1	413	0	117	530	0.001686	openai/gpt-5.1
18	1	415	0	110	525	0.001619	openai/gpt-5.1
19	1	491	0	152	643	0.002134	openai/gpt-5.1
20	1	493	0	152	645	0.002136	openai/gpt-5.1
21	1	476	0	133	609	0.001925	openai/gpt-5.1
22	1	2930	0	370	3300	0.007363	openai/gpt-5.1
23	1	483	0	134	617	0.001944	openai/gpt-5.1
24	1	483	0	138	621	0.001984	openai/gpt-5.1
25	1	506	0	346	852	0.004093	openai/gpt-5.1
26	1	518	0	91	609	0.001557	openai/gpt-5.1
27	1	318	0	100	418	0.001398	openai/gpt-5.1
28	1	495	0	246	741	0.003079	openai/gpt-5.1
29	1	495	0	235	730	0.002969	openai/gpt-5.1
30	1	425	0	130	555	0.001831	openai/gpt-5.1
31	1	425	0	126	551	0.001791	openai/gpt-5.1
32	1	506	0	261	767	0.003242	openai/gpt-5.1
33	1	367	0	150	517	0.001959	openai/gpt-5.1
34	1	367	0	150	517	0.001959	openai/gpt-5.1
35	1	581	0	394	975	0.004666	openai/gpt-5.1
36	1	428	0	212	640	0.002655	openai/gpt-5.1
37	1	502	0	184	686	0.002468	openai/gpt-5.1
38	1	374	0	52	426	0.000988	openai/gpt-5.1
39	1	464	0	181	645	0.002390	openai/gpt-5.1
40	1	507	0	160	667	0.002234	openai/gpt-5.1
41	1	493	0	202	695	0.002636	openai/gpt-5.1
42	1	521	0	63	584	0.001281	openai/gpt-5.1
43	1	649	0	330	979	0.004111	openai/gpt-5.1
44	1	498	0	60	558	0.001223	openai/gpt-5.1
45	1	522	0	265	787	0.003303	openai/gpt-5.1
46	1	454	0	300	754	0.003568	openai/gpt-5.1
47	1	710	0	499	1209	0.005878	openai/gpt-5.1
48	1	636	0	499	1135	0.005785	openai/gpt-5.1
49	1	636	0	498	1134	0.005775	openai/gpt-5.1
50	1	754	0	502	1256	0.005963	openai/gpt-5.1
51	1	385	0	204	589	0.002521	openai/gpt-5.1
52	1	446	0	167	613	0.002228	openai/gpt-5.1
53	1	716	0	498	1214	0.005875	openai/gpt-5.1
54	1	635	0	498	1133	0.005774	openai/gpt-5.1
55	1	635	0	522	1157	0.006014	openai/gpt-5.1
56	1	745	0	498	1243	0.005911	openai/gpt-5.1
57	1	392	0	187	579	0.002360	openai/gpt-5.1
58	1	410	0	109	519	0.001603	openai/gpt-5.1
59	1	504	0	102	606	0.001650	openai/gpt-5.1
60	1	484	0	75	559	0.001355	openai/gpt-5.1
61	1	415	0	75	490	0.001269	openai/gpt-5.1
62	1	420	0	99	519	0.001515	openai/gpt-5.1
63	1	417	0	77	494	0.001291	openai/gpt-5.1
64	1	437	0	77	514	0.001316	openai/gpt-5.1
65	1	447	0	165	612	0.002209	openai/gpt-5.1
66	1	471	0	72	543	0.001309	openai/gpt-5.1
67	1	435	0	92	527	0.001464	openai/gpt-5.1
68	1	423	0	77	500	0.001299	openai/gpt-5.1
69	1	445	0	77	522	0.001326	openai/gpt-5.1
70	1	445	0	181	626	0.002366	openai/gpt-5.1
71	1	303	0	161	464	0.001989	openai/gpt-5.1
72	1	440	0	76	516	0.001310	openai/gpt-5.1
73	1	521	0	178	699	0.002431	openai/gpt-5.1
