ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression inboundRequest is @Nullable	    SessionContext context = inboundRequest.getContext();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/BasicRequestCompleteHandler.java:32	626b2e2eff81c9a78c5d676d54bbb6323b0f1ed1
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return (T) typedMap.get(Objects.requireNonNull(key, "key"));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:130	217daed4d5f10bb87aa6ab6e86e0643e24275326
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return super.get(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:124	2a2ab552d18ad8f4873babe2e3a5dbb91b58f32b
4	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.context.SessionContextDecorator.decorate(com.netflix.zuul.context.SessionContext) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/ZuulSessionContextDecorator.java:47	8134cb37aef7d8272df5c2cfe4c8acb17f970b40
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.message.http.HttpResponseInfo.getInboundRequest() returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpResponseMessageImpl.java:155	261935a73494d594e01bea2194adb0726358d05c
6	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	    if (cause instanceof IllegalStateException && cause.getMessage().contains("server")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/NettyRequestAttemptFactory.java:70	5a0d9a9fd9668e381c0d68f7c34b2b8b00fc3bb6
7	PASS_NULLABLE	passing @Nullable parameter 'key' where @NonNull is required	    final DiscoveryResult chosenServer = dynamicServerResolver.resolve(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java:381	6237dacd3b2a37e439d0e9e445b6a56ec5b183e0
8	PASS_NULLABLE	passing @Nullable parameter 'filter(endpoint, zuulReq)' where @NonNull is required	          invokeNextStage(filter(endpoint, zuulReq));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulEndPointRunner.java:162	05dd276e2f37242c2392082b46fc525383a48c73
9	PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	    this(zuulFilters, usageNotifier, null, registry);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulFilterChainRunner.java:55	fa56fa1c61330c966e50b278c1410be43a3997bc
10	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	    final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	b226fbe4ee6ede6aeff81d078d9539c8fb5edf3e
11	DEREFERENCE_NULLABLE	dereferenced expression zuulRequest is @Nullable	      zuulRequest.getHeaders().remove(HttpHeaderNames.EXPECT.toString());	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ClientRequestReceiver.java:304	69e7b8db2f10d43a37265a9b35c6da2b91e8363d
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverGroup (line 123) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public Server(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java:183	a6cd1cdfd6673f501e0ea83f297f6e67d33b050d
13	DEREFERENCE_NULLABLE	dereferenced expression bindType.addressSupplier is @Nullable	          return new InetSocketAddress(bindType.addressSupplier.get(), port);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/SocketAddressProperty.java:150	fdc8954af7fa5f6918704b05d67df81e02a69ca5
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull field ctx (line 44) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public PushRegistrationHandler(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/push/PushRegistrationHandler.java:62	2af142ae0c0757e00fd6858ada6aa7fc8cd7f720
15	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    spectatorRegistry = null;	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:66	ab9384eb78e06e65adfa1628a926a28bcd6a4506
16	DEREFERENCE_NULLABLE	dereferenced expression handshakeInfo is @Nullable	            handshakeInfo.getProtocol().length() > 0 ? handshakeInfo.getProtocol() : "unknown";	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:210	ba9f1a815ba8379789f96af825a416a463424307
17	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("handshake timed out")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:131	682e2bcecc011e46b7e37beebffc5dfd07413325
18	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("failure when writing TLS control frames")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:137	2b7d896cb9abad7b94142f2c7dcb2a2258e2081e
