ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	22069	false
2	true	false	true	false	true	143741	false
3	true	true	false	false	false	238457	false
4	true	false	true	false	true	12395	false
5	true	false	true	false	true	12496	false
6	true	false	true	true	false	23641	false
7	true	false	true	true	false	11502	false
8	true	false	true	true	false	10519	false
9	true	false	true	true	false	8048	false
10	true	false	true	true	false	34347	false
11	true	false	true	true	false	30915	false
12	true	false	true	true	false	46815	false
13	true	false	true	true	false	32724	false
14	true	false	true	true	false	34756	false
15	true	false	true	true	false	52038	false
16	true	false	true	true	false	22093	false
17	true	false	true	true	false	29936	false
18	true	false	true	true	false	28924	false
19	true	false	true	true	false	8920	false
20	true	false	true	true	false	14778	false
21	true	false	true	true	false	35630	false
22	true	false	true	true	false	9957	false
23	true	false	true	true	false	6375	false
