ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression inboundRequest is @Nullable	    SessionContext context = inboundRequest.getContext();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/BasicRequestCompleteHandler.java:32	b773a4e6773d998c7d43fc4013864278045468dd
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return (T) typedMap.get(Objects.requireNonNull(key, "key"));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:130	74addd275126ab4777da1e3983f56f572ca62e56
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return super.get(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:124	938151be0863e44a62cdc7e54b30ea46ea93ff2a
4	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.context.SessionContextDecorator.decorate(com.netflix.zuul.context.SessionContext) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/ZuulSessionContextDecorator.java:47	420a17c9b12f9b24b4080289a471f5a71a1482da
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.message.http.HttpResponseInfo.getInboundRequest() returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpResponseMessageImpl.java:155	466f00511a3f3f82cb0aaca6212d51146e6eb0b0
6	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	    if (cause instanceof IllegalStateException && cause.getMessage().contains("server")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/NettyRequestAttemptFactory.java:70	3e77dcd54c9f3c454f10448f442d4571a411fc6f
7	PASS_NULLABLE	passing @Nullable parameter 'key' where @NonNull is required	    final DiscoveryResult chosenServer = dynamicServerResolver.resolve(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java:381	418c18dbb651bb43d57959ae6f87526caf055c78
8	PASS_NULLABLE	passing @Nullable parameter 'filter(endpoint, zuulReq)' where @NonNull is required	          invokeNextStage(filter(endpoint, zuulReq));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulEndPointRunner.java:162	f04d80130f636525eeaa3f5c0c8f4c2d7f8d6a3c
9	PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	    this(zuulFilters, usageNotifier, null, registry);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulFilterChainRunner.java:55	331d8dadf019788a442f86e493a7456f70366266
10	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	    final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	0614ff59f60d8343a5cd2094c57f3e231e7febf8
11	DEREFERENCE_NULLABLE	dereferenced expression zuulRequest is @Nullable	      zuulRequest.getHeaders().remove(HttpHeaderNames.EXPECT.toString());	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ClientRequestReceiver.java:304	c0133856fb1eab9df38e9229af8936f94e9d0fcc
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverGroup (line 123) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public Server(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java:183	a63b8b68ef978143d5b260ad1f21aec5efa7a71d
13	DEREFERENCE_NULLABLE	dereferenced expression bindType.addressSupplier is @Nullable	          return new InetSocketAddress(bindType.addressSupplier.get(), port);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/SocketAddressProperty.java:150	d8e2383d216404e35cae8990ea2ba80d3527cfb4
