ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	18915	false
2	true	false	true	false	true	39829	false
3	true	true	false	false	false	128677	false
4	true	false	true	false	true	12317	false
5	true	false	true	false	true	12581	false
6	true	false	true	true	false	31725	false
7	true	false	true	true	false	12089	false
8	true	false	true	true	false	11132	false
9	true	false	true	true	false	8294	false
10	true	false	true	true	false	37661	false
11	true	false	true	true	false	34233	false
12	true	false	true	true	false	60442	false
13	true	false	true	true	false	35058	false
14	true	false	true	true	false	45970	false
15	true	false	true	true	false	67660	false
16	true	true	false	false	false	24256	false
17	true	false	true	true	false	44167	false
18	true	false	true	true	false	38182	false
19	true	false	true	true	false	8720	false
20	true	false	true	true	false	23273	false
21	true	false	true	true	false	38140	false
22	true	false	true	true	false	9356	false
23	true	false	true	true	false	13070	false
