ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	True	False	True	True	False	18915	False
2	True	False	True	False	True	39829	False
3	True	True	False	False	False	128677	False
4	True	False	True	False	True	12317	False
5	True	False	True	False	True	12581	False
6	True	False	True	True	False	31725	False
7	True	False	True	True	False	12089	False
8	True	False	True	True	False	11132	False
9	True	False	True	True	False	8294	False
10	True	False	True	True	False	37661	False
11	True	False	True	True	False	34233	False
12	True	False	True	True	False	60442	False
13	True	False	True	True	False	35058	False
14	True	False	True	True	False	45970	False
15	True	False	True	True	False	67660	False
16	True	True	False	False	False	24256	False
17	True	False	True	True	False	44167	False
18	True	False	True	True	False	38182	False
19	True	False	True	True	False	8720	False
20	True	False	True	True	False	23273	False
21	True	False	True	True	False	38140	False
22	True	False	True	True	False	9356	False
23	True	False	True	True	False	13070	False
