ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression inboundRequest is @Nullable	    SessionContext context = inboundRequest.getContext();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/BasicRequestCompleteHandler.java:32	32fb86d4974946119ebf81ac56707f7675a379cb
4	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.context.SessionContextDecorator.decorate(com.netflix.zuul.context.SessionContext) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/ZuulSessionContextDecorator.java:47	0eefbbd8321943a458199cbb62ba5f110e898d2e
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.message.http.HttpResponseInfo.getInboundRequest() returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpResponseMessageImpl.java:155	4a426ff1841883521cc71f64be383d5f3eb3b4d2
6	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	    if (cause instanceof IllegalStateException && cause.getMessage().contains("server")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/NettyRequestAttemptFactory.java:70	b2fe0cb681d8ca1abba94a549f5648cecaf17974
7	PASS_NULLABLE	passing @Nullable parameter 'key' where @NonNull is required	    final DiscoveryResult chosenServer = dynamicServerResolver.resolve(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java:381	e5a9915c7226c149c15875344ae21b1a7fd36f64
8	PASS_NULLABLE	passing @Nullable parameter 'filter(endpoint, zuulReq)' where @NonNull is required	          invokeNextStage(filter(endpoint, zuulReq));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulEndPointRunner.java:162	1cd3df9b03b6f74d6af017303690e7b1e23c83fb
10	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	    final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	e0c92bc9868ca9875fa18e3a5fcdfbc8394fceed
11	DEREFERENCE_NULLABLE	dereferenced expression zuulRequest is @Nullable	      zuulRequest.getHeaders().remove(HttpHeaderNames.EXPECT.toString());	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ClientRequestReceiver.java:304	a3d06a146f37aa17d300e4b862423ca06cc1de0b
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverGroup (line 123) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public Server(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java:183	df932c458da5d65df292fc1594efd07a64faba2a
13	DEREFERENCE_NULLABLE	dereferenced expression bindType.addressSupplier is @Nullable	          return new InetSocketAddress(bindType.addressSupplier.get(), port);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/SocketAddressProperty.java:150	39f4f794c15c831b73599cf0937e8c361a58f4fd
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull field ctx (line 44) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public PushRegistrationHandler(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/push/PushRegistrationHandler.java:62	424f3aaf9326c381c6f6b71701873199b5d98948
15	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    spectatorRegistry = null;	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:66	0f09686f5aa4218b137a3f7651abafa8db3d845d
16	DEREFERENCE_NULLABLE	dereferenced expression handshakeInfo is @Nullable	            handshakeInfo.getProtocol().length() > 0 ? handshakeInfo.getProtocol() : "unknown";	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:210	ac919976fb3ab81875549a2193568fadee63be6f
17	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("handshake timed out")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:131	6f94834621d3b45ce6088934aeceebb4ed26c504
18	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("failure when writing TLS control frames")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:137	69c1996431b3acc9dc5cf4184bbe757a4085c7c5
19	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	      computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	0a7bfbbb0d87863ff545721437bd0c49b7519cd4
20	DEREFERENCE_NULLABLE	dereferenced expression t.getCause() is @Nullable	          exceptionType = t.getCause().getClass().getSimpleName();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java:298	991c30d12755fc4ea280c84cb0542d2707a32d40
21	DEREFERENCE_NULLABLE	dereferenced expression t.getCause() is @Nullable	        cause = t.getCause().getMessage();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java:309	7482021e017769017ca622fd98764ecc7066e4b5
