ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	93917	22
2	true	true	false	false	false	265000	2147483647
3	true	false	true	false	true	184131	33
4	true	false	true	true	false	103570	21
5	true	false	true	true	false	159320	20
6	true	false	true	true	false	128162	19
7	true	false	true	true	false	74790	18
8	true	false	true	true	false	88410	17
9	true	true	false	false	false	152813	2147483647
10	true	false	true	true	false	156073	16
11	true	false	true	true	false	89645	15
12	true	false	true	true	false	108340	14
13	true	false	true	true	false	202664	13
14	true	false	true	true	false	134530	12
15	true	false	true	true	false	315237	11
16	true	false	true	true	false	71905	10
17	true	false	true	true	false	159084	9
18	true	false	true	true	false	87892	8
19	true	false	true	true	false	139634	7
20	true	false	true	true	false	87571	5
21	true	false	true	true	false	102941	4
22	true	false	true	true	false	156849	3
23	false	false	false	false	false	88511	2147483647
