ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	82223	false
2	true	false	true	false	true	104679	false
3	true	false	true	false	true	68782	false
4	true	false	true	true	false	53927	false
5	true	false	true	true	false	79242	true
6	true	false	true	true	false	55034	false
7	true	true	false	false	false	101168	false
8	true	false	true	true	false	41074	false
9	true	false	true	true	false	63733	false
10	true	false	true	true	false	96674	false
11	true	false	true	true	false	37391	false
12	true	false	true	true	false	105385	false
13	true	false	true	true	false	42717	false
14	true	false	true	true	false	102736	false
15	true	false	true	true	false	61753	false
16	true	false	true	true	false	109384	false
17	true	true	false	false	false	94648	false
18	true	false	true	true	false	79194	false
19	true	false	true	true	false	88333	false
20	true	false	true	true	false	50333	false
21	true	false	true	true	false	54372	false
22	true	false	true	true	false	37855	false
23	true	false	true	true	false	48753	false
