ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression inboundRequest is @Nullable	    SessionContext context = inboundRequest.getContext();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/BasicRequestCompleteHandler.java:32	83bdcc7d5cdff7eb088be38cba193778a3374cc0
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return super.get(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:124	580537a80c3d880bb9e125bc226520353c2ab96e
6	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	    if (cause instanceof IllegalStateException && cause.getMessage().contains("server")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/NettyRequestAttemptFactory.java:70	1c4dc35a8a22fd350e4cc9c07f99ca7a37d0d655
7	PASS_NULLABLE	passing @Nullable parameter 'key' where @NonNull is required	    final DiscoveryResult chosenServer = dynamicServerResolver.resolve(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java:381	05e52cd7cf386f89905820cce0d5224402596624
10	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	    final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	42dfc3bea07dc8a0a875141de3a0510ececb77ab
11	DEREFERENCE_NULLABLE	dereferenced expression zuulRequest is @Nullable	      zuulRequest.getHeaders().remove(HttpHeaderNames.EXPECT.toString());	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ClientRequestReceiver.java:304	d89df1bf12182c40c48c470c2091603a705fb7e2
17	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("handshake timed out")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:131	7cec7ddc9862cf4b56bc0fcecc81ca20f6b60965
19	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	      computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	03ab2bc078cd20992be854fa4edf7be48d392263
20	DEREFERENCE_NULLABLE	dereferenced expression t.getCause() is @Nullable	          exceptionType = t.getCause().getClass().getSimpleName();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java:298	62a016e45786352002ee45b3e2c174fde26a5c09
21	DEREFERENCE_NULLABLE	dereferenced expression t.getCause() is @Nullable	        cause = t.getCause().getMessage();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java:309	4f1dee3e2ee86ba9559010f4cabbb3ac1421f58c
22	SWITCH_EXPRESSION_NULLABLE	switch expression state is @Nullable	    switch (state) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/passport/CurrentPassport.java:480	91bba03c7189b5edd71f2b1559123f3403477f5e
