ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	REMAINING_ERRORS
1	true	false	true	true	false	8879	22
2	true	false	true	false	true	8167	22
3	true	false	true	true	false	8936	21
4	true	false	false	false	false	8709	21
5	true	false	false	false	false	9169	21
6	true	false	true	true	false	9498	20
7	true	false	true	true	false	9238	19
8	true	true	false	false	false	9538	2147483647
9	true	false	true	false	true	9834	19
10	true	false	true	true	false	9830	18
11	true	false	true	true	false	8306	17
12	true	true	false	false	false	8360	2147483647
13	true	true	false	false	false	9452	2147483647
14	true	true	false	false	false	9005	2147483647
15	true	true	false	false	false	8944	2147483647
16	true	false	true	false	true	10440	17
17	true	false	true	true	false	9263	15
18	false	false	false	false	false	23344	2147483647
19	true	false	true	true	false	9426	14
20	true	false	true	true	false	7945	13
21	true	false	true	true	false	12981	12
22	true	false	true	true	false	7961	11
23	true	false	true	false	true	7801	11
