ID	TYPE	Message	EXPRESSION	PATH	HASH
1	DEREFERENCE_NULLABLE	dereferenced expression inboundRequest is @Nullable	    SessionContext context = inboundRequest.getContext();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/BasicRequestCompleteHandler.java:32	bbb6c2c68c294d6af717e196c8c364ebada7e70a
2	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return (T) typedMap.get(Objects.requireNonNull(key, "key"));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:130	798471131630b98a55201fea4224a448d66e43c9
3	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	    return super.get(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/SessionContext.java:124	ea3029e3899524ded604a0813b67c50d42053299
4	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.context.SessionContextDecorator.decorate(com.netflix.zuul.context.SessionContext) returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/context/ZuulSessionContextDecorator.java:47	c27df049910b4f3e44fcaf9c6a2b60918125bd8c
5	WRONG_OVERRIDE_RETURN	method returns @Nullable, but superclass method com.netflix.zuul.message.http.HttpResponseInfo.getInboundRequest() returns @NonNull	  @Nullable	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/message/http/HttpResponseMessageImpl.java:155	a0a8a6aee10aabf197980ab351f42d37489b94db
6	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	    if (cause instanceof IllegalStateException && cause.getMessage().contains("server")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/NettyRequestAttemptFactory.java:70	a439117658097ff5af7e6e058d078b0f50f9151b
7	PASS_NULLABLE	passing @Nullable parameter 'key' where @NonNull is required	    final DiscoveryResult chosenServer = dynamicServerResolver.resolve(key);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/connectionpool/DefaultClientChannelManager.java:381	0d94dd5bce994bc5464b5a5b3d98a4153d0a9f10
8	PASS_NULLABLE	passing @Nullable parameter 'filter(endpoint, zuulReq)' where @NonNull is required	          invokeNextStage(filter(endpoint, zuulReq));	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulEndPointRunner.java:162	8e331ff7de6262da7670550808694f28d81ddee6
9	PASS_NULLABLE	passing @Nullable parameter 'null' where @NonNull is required	    this(zuulFilters, usageNotifier, null, registry);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/filter/ZuulFilterChainRunner.java:55	c0e1454108b23dbc449779e359e86b38e2d1b745
10	DEREFERENCE_NULLABLE	dereferenced expression zuulFilters is @Nullable	    final ZuulFilter<T, T>[] filters = new ZuulFilter[zuulFilters.size() + 2];	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/BaseZuulChannelInitializer.java:374	24fc0b05a06d02593620c8dfb9660681a78288c6
11	DEREFERENCE_NULLABLE	dereferenced expression zuulRequest is @Nullable	      zuulRequest.getHeaders().remove(HttpHeaderNames.EXPECT.toString());	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ClientRequestReceiver.java:304	036801b12b3e650b0f23a625a2f366ad55160613
12	METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverGroup (line 123) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public Server(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/Server.java:183	8c688706a81690e806646d1e9c3902d191f4eb6f
13	DEREFERENCE_NULLABLE	dereferenced expression bindType.addressSupplier is @Nullable	          return new InetSocketAddress(bindType.addressSupplier.get(), port);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/SocketAddressProperty.java:150	f4f781058f623e8bb7ca04853794ac3b6921103a
14	METHOD_NO_INIT	initializer method does not guarantee @NonNull field ctx (line 44) is initialized along all control-flow paths (remember to check for exceptions or early returns).	  public PushRegistrationHandler(	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/push/PushRegistrationHandler.java:62	e55cad633061daf383ac519959fd8ce37dbbeaf0
15	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	    spectatorRegistry = null;	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:66	8a2f03f64f979cbd3b8e59288c436de42bcdbc8f
16	DEREFERENCE_NULLABLE	dereferenced expression handshakeInfo is @Nullable	            handshakeInfo.getProtocol().length() > 0 ? handshakeInfo.getProtocol() : "unknown";	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:210	f5e3531d1e2de88f7c5b7b0d0c6f6656e8f4f13f
17	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("handshake timed out")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:131	b4a88c13a7a9b52aaf9e1ec187cbac6f20e68000
18	DEREFERENCE_NULLABLE	dereferenced expression cause.getMessage() is @Nullable	              && cause.getMessage().contains("failure when writing TLS control frames")) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/server/ssl/SslHandshakeInfoHandler.java:137	2a0251fff97f2f0b59b918ec3c00f57739f5292d
19	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	      computedTimeout = originTimeout == null ? requestTimeout : originTimeout;	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	9b09ee09d477c7aef62e18e66cf56930733ffe74
20	DEREFERENCE_NULLABLE	dereferenced expression t.getCause() is @Nullable	          exceptionType = t.getCause().getClass().getSimpleName();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java:298	246ae98e38de918e42be0d489e77472400658bf1
21	DEREFERENCE_NULLABLE	dereferenced expression t.getCause() is @Nullable	        cause = t.getCause().getMessage();	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/niws/RequestAttempt.java:309	4f1d8a80e2e04b7fe8894350c8fb45e0674b3087
22	SWITCH_EXPRESSION_NULLABLE	switch expression state is @Nullable	    switch (state) {	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/passport/CurrentPassport.java:480	904b352115d00d8cd894085cee5d6e785b30699f
23	DEREFERENCE_NULLABLE	dereferenced expression ctx is @Nullable	    return ctx.get(CommonContextKeys.STATUS_CATGEORY);	/home/vscode/nullness-benchmarks/zuul/zuul-core/src/main/java/com/netflix/zuul/stats/status/StatusCategoryUtils.java:35	3899f3181672491e74a7669c2d1fbaa5658b04f3
