ID	PATCH_GENERATED	COMPILATION_ERROR_INTRODUCED	TARGET_ERROR_RESOLVED	TARGET_ERROR_RESOLVED_WITHOUT_NEW_ERRORS	TRIGGERED_NEW_ERRORS	EXECUTION_TIME_IN_MILLIS	FAILING_TESTS
1	true	false	true	true	false	8361	false
2	true	false	true	false	true	8185	true
3	true	false	true	true	false	9370	true
4	true	false	false	false	false	10022	false
5	true	false	false	false	false	8567	true
6	true	false	true	true	false	10681	false
7	true	false	true	true	false	10328	true
8	true	true	false	false	false	11493	false
9	true	false	true	false	true	10492	false
10	true	false	true	true	false	9228	false
11	true	false	true	true	false	10352	false
12	true	true	false	false	false	8343	false
13	true	true	false	false	false	9353	false
14	true	true	false	false	false	10219	false
15	true	true	false	false	false	7831	false
16	true	false	true	false	true	8652	false
17	true	false	true	true	false	13897	false
18	true	false	true	true	false	14280	false
19	true	false	true	true	false	11188	false
20	true	false	true	true	false	11305	false
21	true	false	true	true	false	8651	false
22	true	false	true	true	false	9287	false
23	true	false	true	false	true	8414	false
