ID	PROMPTS_COUNT	UNCACHED_PROMPTS_TOKENS	CACHED_PROMPTS_TOKENS	RESPONSES_TOKENS	TOTAL_TOKENS	COST_IN_DOLLARS	MODEL_NAME
1	1	415	0	120	535	0.001719	openai/gpt-5.1
2	1	476	0	98	574	0.001575	openai/gpt-5.1
3	1	472	0	82	554	0.001410	openai/gpt-5.1
4	1	604	0	334	938	0.004095	openai/gpt-5.1
5	1	370	0	99	469	0.001453	openai/gpt-5.1
6	1	587	0	326	913	0.003994	openai/gpt-5.1
7	1	696	0	521	1217	0.006080	openai/gpt-5.1
8	1	700	0	442	1142	0.005295	openai/gpt-5.1
9	1	597	0	94	691	0.001686	openai/gpt-5.1
10	1	575	0	273	848	0.003449	openai/gpt-5.1
11	1	598	0	229	827	0.003038	openai/gpt-5.1
12	1	644	0	259	903	0.003395	openai/gpt-5.1
13	1	669	0	488	1157	0.005716	openai/gpt-5.1
14	1	678	0	113	791	0.001978	openai/gpt-5.1
15	1	519	0	66	585	0.001309	openai/gpt-5.1
16	1	578	0	337	915	0.004093	openai/gpt-5.1
17	1	1205	0	1069	2274	0.012196	openai/gpt-5.1
18	1	1207	0	1071	2278	0.012219	openai/gpt-5.1
19	1	613	0	246	859	0.003226	openai/gpt-5.1
20	1	505	0	327	832	0.003901	openai/gpt-5.1
21	1	554	0	345	899	0.004143	openai/gpt-5.1
22	1	495	0	237	732	0.002989	openai/gpt-5.1
23	1	497	0	82	579	0.001441	openai/gpt-5.1
