project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	remaining_errors	percentage_error_reduction	total_test_failures	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	20	3	17	14	3	9	64.0	0	1692.706	67.70823999999999	2189.271	214	8.56	1324413	52976.52	2.0240720000000003	0.08096288000000001
eureka	24	24	0	24	21	3	3	87.5	1	729.548	30.397833333333335	1178.338	174	7.25	81040	3376.6666666666665	0.18718100000000001	0.007799208333333334
glide	87	83	7	75	54	21	24	72.41379310344827	0	1193.4489999999998	13.717804597701148	2197.579	390	4.482758620689655	83024	954.2988505747127	0.308936	0.003550988505747126
gson	32	25	0	25	14	11	14	56.25	0	553.1669999999999	17.286468749999997	901.461	75	2.34375	40103	1253.21875	0.13448	0.0042025
jadx	117	106	19	87	54	33	60	48.717948717948715	0	5918.406999999997	50.58467521367519	7217.017	1433	12.247863247863247	2298085	19641.752136752137	4.420691999999997	0.03778369230769228
libgdx	453	358	12	343	203	142	152	66.44591611479028	0	26662.40799999999	58.857412803531986	32250.204	4822	10.64459161147903	3543502	7822.3002207505515	11.764067	0.025969242825607065
litiengine	152	125	14	111	77	34	66	56.57894737	0	2474.4510000000005	18.60489473684211	3403.017	942	7.082706766917293	641351	4822.187969924812	1.2954799999999995	0.009740451127819546
mockito	36	35	6	29	17	12	17	52.77777777777778	34	796.492	22.124777777777776	3590.372	208	5.777777777777778	52956	1471.0	0.160617	0.004461583333333334
retrofit	13	13	0	13	10	3	0	100.0	0	214.95899999999997	16.53530769230769	398.41	30	2.3076923076923075	7308	562.1538461538462	0.035228	0.002709846153846154
spring-boot	84	79	2	77	57	20	24	71.42857142857143	0	2709.3439999999982	32.25409523809522	4349.356	303	3.607142857142857	43287	515.3214285714286	0.154161	0.0018352499999999999
wala-util	73	49	2	47	28	19	42	42.465753424657535	0	2230.0609999999992	30.5487808219178	2642.993	1451	19.876712328767123	191234	2619.6438356164385	0.668518	0.009157780821917807
zuul	23	22	1	21	18	3	4	82.6086956521739	0	413.6869999999999	17.986391304347823	709.659	107	4.6521739130434785	27833	1210.1304347826087	0.095893	0.004169260869565218
total	1119	939	66	869	567	304	415	62.91331546	35	45588.67899999998	41.44425363636362	61027.67700000001	10149	9.226363636363637	8334136	7576.487272727272	21.249324999999992	0.019317568181818175
