project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	remaining_errors	percentage_error_reduction	total_test_failures	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	25	2	23	20	3	2	92.0	38	2099.418	83.97672	2714.294	190	7.6	1022190	40887.6	0.88972275	0.03558891
eureka	24	23	1	22	21	1	2	91.66666666666666	5	2009.1159999999998	83.71316666666665	2412.197	214	8.916666666666666	1482971	61790.458333333336	1.12146825	0.04672784375
glide	87	83	1	82	68	14	7	91.95402298850574	6	7339.613000000002	84.36336781609198	8368.225	749	8.60919540229885	4228556	48604.09195402299	3.208895	0.03688385057471264
gson	32	31	2	29	23	6	2	93.75	3	2203.238	68.8511875	2525.589	282	8.8125	1807550	56485.9375	1.3071952500000001	0.040849851562500004
jadx	117	108	6	102	80	22	31	73.50427350427351	628	15440.020000000002	131.9659829059829	18079.272	1217	10.401709401709402	9450847	80776.47008547008	6.05467225	0.05174933547008547
libgdx	453	400	21	376	285	92	99	78.1456953642384	0	48837.80300000003	107.80971964679918	57266.22	4015	8.863134657836644	25665328	56656.353200883	17.32417575000001	0.03824321357615896
litiengine	152	143	9	134	77	57	63	58.55263157894737	149	13208.494000000002	86.89798684210528	14352.401	1460	9.605263157894736	10058309	66173.08552631579	6.5426210000000005	0.04304355921052632
mockito	36	33	5	28	20	8	10	72.22222222222221	0	2983.09	82.86361111111111	3380.013	341	9.472222222222221	2365729	65714.69444444444	1.5766075000000004	0.04379465277777779
retrofit	13	11	1	10	8	2	1	92.3076923076923	0	1034.428	79.57138461538463	1177.818	159	12.23076923076923	1020367	78489.76923076923	0.61193975	0.047072288461538464
spring-boot	84	82	7	75	62	13	15	82.14285714285714	403	17343.266999999996	206.46746428571424	20380.116	758	9.023809523809524	4487531	53422.98809523809	3.465559999999999	0.04125666666666666
wala-util	73	62	4	58	53	5	6	91.78082191780823	0	7442.348	101.94997260273972	8612.554	585	8.013698630136986	3651195	50016.3698630137	2.7584707500000003	0.03778727054794521
zuul	23	22	2	20	19	1	3	86.95652173913044	1	3150.9889999999996	136.99952173913042	3672.218	296	12.869565217391305	2239434	97366.69565217392	1.3499185	0.058692108695652175
total	1119	1023	61	959	736	224	173	84.53976764968722	1233	123091.82400000002	110.00163002680968	142940.91700000002	10266	9.17426273458445	67480007	60303.84897229669	46.21124675000001	0.041296913985701525
