project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	remaining_errors	percentage_error_reduction	total_test_failures	percentage_failed_tests_from_total_tests	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	25	2	23	21	2	2	92.0	27	6.192660550458716	385.24800000000005	15.409920000000001	1103.95	25	1.0	6309	252.36	0.029175000000000003	0.001167
eureka	24	24	1	22	19	4	5	79.16666666666666	3	2.586206896551724	253.81599999999995	10.575666666666665	855.785	24	1.0	4902	204.25	0.019447000000000002	0.0008102916666666667
glide	87	87	4	78	69	13	18	79.3103448275862	42	0.7872539831302717	550.9459999999999	6.33271264367816	1666.298	87	1.0	19714	226.5977011494253	0.06953499999999999	0.0007992528735632183
gson	32	28	1	26	20	6	7	78.125	0	0.0	351.468	10.983375	694.573	29	0.90625	18859	589.34375	0.086166	0.0026926875
jadx	117	115	17	90	79	17	35	70.08547008547008	647	86.15179760319573	1182.3860000000002	10.10586324786325	2553.555	117	1.0	20134	172.0854700854701	0.080626	0.0006891111111111112
libgdx	453	438	49	345	255	109	143	68.43267108167771	0	0.0	6364.688000000002	14.050083885209718	13004.237	453	1.0	244937	540.6997792494482	1.1745060000000005	0.002592728476821193
litiengine	152	147	16	125	110	18	33	78.28947368421053	77	15.157480314960631	869.8850000000002	5.722927631578949	1742.098	151	0.993421052631579	38720	254.73684210526315	0.14882800000000007	0.0009791315789473688
mockito	36	33	3	25	20	7	16	55.55555555555556	1136	54.38008616562949	369.09400000000005	10.252611111111113	944.675	35	0.9722222222222222	3062	85.05555555555556	0.012544	0.0003484444444444444
retrofit	13	13	0	13	10	3	0	100.0	0	0.0	108.26500000000003	8.328076923076924	309.804	13	1.0	4969	382.2307692307692	0.018961000000000002	0.0014585384615384616
spring-boot	84	84	12	67	49	21	30	64.28571428571429	842	21.479591836734695	1307.092	15.56061904761905	3056.675	84	1.0	12750	151.78571428571428	0.044637	0.0005313928571428572
wala-util	73	72	7	60	44	17	17	76.71232876712328	0	0.0	628.3850000000001	8.608013698630138	1323.144	73	1.0	23014	315.26027397260276	0.091954	0.0012596438356164382
zuul	23	22	5	15	11	4	11	52.17391304347826	48	14.035087719298245	225.02599999999995	9.78373913043478	550.091	23	1.0	3197	139.0	0.016343	0.0007105652173913043
total	1119	1088	117	889	707	221	317	71.67113494191241	2822	18.809571419049522	12596.299000000003	11.256746201966044	27804.885	1114	0.9955317247542449	400567	357.9687220732797	1.7927220000000008	0.0016020750670241294
