Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	SCORE_A_Reviewer_1	SCORE_B_Reviewer_1	SCORE_C_Reviewer_1	SCORE_A_Reviewer_2	SCORE_B_Reviewer_2	SCORE_C_Reviewer_2	SCORE_A_Reviewer_3	SCORE_B_Reviewer_3	SCORE_C_Reviewer_3	Reviewer_1_Comment	Reviewer_2_Comment	Reviewer_3_Comment	Consolidation_Comment	File_Type
libgdx	252	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/365b41608f49b969f11e26eb3df2c2b40848093e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/23f9647d02113293dd4e3fec073e027e41a30248"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7163c753c200b685df18bd0a532eea38f31e5cb7"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Cell.java:81	return (T) actor;	1	1	1	1	1	1							locally this looks fine, though i assume annotator didn't do this because it causes errors elsewhere?				agreement
litiengine	29	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/b6690e7cf8300961516cb21471faa022d83d464c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/e0e3020d8ec3c0a05598b6085f0be2e7df6835fb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/370c1219001ce8dad8e2a9f16d07d83e6d90a328"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.renderables.get(renderType) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:458	this.renderables.get(renderType).clear();	1	1	3	1	1	3							can't be null, cast or requireNonNull is best				agreement
litiengine	30	hash_advanced	hash_agent_baseline	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/e95aae3c1f156c23d63f37ac50401aa1c50cc981"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/228fa58eb2b303fec18fe9a89548a2d30cd8d0dc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ccbdf82672f3d6f54456c56d33a746900020ebda"", ""Github"")"	DEREFERENCE_NULLABLE	enhanced-for expression this.renderListeners.get(type) is @Nullable	litiengine/src/de/gurkenlabs/litiengine/environment/Environment.java:2571	for (EnvironmentRenderedListener listener : this.renderListeners.get(type)) {	1	3	3	1	3	3							can't be null, cast is best, checking and bailing out is misleading				agreement
libgdx	318	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/2b5d1bad2cb19bfbc2f09899c1f28987532c1cf7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f8b6dde49bb08b801da9dda2aff3dba77a52177f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ff35e6057ed2969c10bf03a464c4f2b4cc87575f"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:985	float minWidth = c.minWidth.get(a),	3	2	3	3	2	3							Pretty sure actor can't be null here.  Cast is good.  But Patch B should stick the casted value in a local!				agreement
libgdx	364	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3d0f9824b9bcb1f1e613ff4641a082936211a399"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b61f3a8d5aa89ba2bd2cd44ffa98e4b344fe7b2c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/43a47dc7785abbf51bcd27536b6d5adbcc299b50"", ""Github"")"	SWITCH_EXPRESSION_NULLABLE	switch expression focusEvent.getType() is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/FocusListener.java:33	switch (focusEvent.getType()) {	1	3	3	1	3	3							looks like it should never be null.  a cast to ensure at runtime is better than a bailout.				agreement
eureka	1	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/577b3622e25ccdbf3ee05cdbc003697d1b280831"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/f2091409da37d949b050f416dcfe8c989ac753b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/5721aa083059c276e2f2db141e6ff5cbe9413759"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	return holder;	1	3	1	1	3	1							Should be called when holder got initialized, as enforced by A and C. B makes too many changes for enforcing an obvious usage protocol.				agreement
litiengine	22	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/80bc5958f68905f749f891a60fe3e3286168d1de"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/19e39be380d5654747a25efa18a385ed0747ce4c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/425a61b3d361ab90f4f9f99d31b1cb2713f05f63"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	return this.spawnpoints;	1	1	3	1	1	3							C is too complex. A and B seem reasonable and are practically equivalent				agreement
glide	16	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/369468384a89d28757738ee7adef1739a67be79e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/6bce4790eac624f99853c52c2b459aa549403adf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/4aa8f484f940c5d15f1bee1bad3cadcdd56beee9"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeHelper.java:84	resourceClass = null;	1	3	3	1	3	3							B and C are clearly stupid. A looks good, as it acknowledges that resourceClass may be null and then adds checks/casts.				agreement
spring-boot	32	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/906183d38ce5fe72d5a1df4c72ff4d75b192c059"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/48bde752a3be925485e367319ec8d513ee080e73"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/079c94dfa094a530856ad5dfd55286cc1ba2db0e"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'annotations' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/bind/JavaBeanBinder.java:98	\t\t\t\tBindable.of(type).withSuppliedValue(value).withAnnotations(annotations));	1	3	1	1	3	1							Passing an empty array in case annotations is null seems reasonable, as done by A and C. The case done by B may fail.				agreement
wala-util	17	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/2f146e67994fccf02955f63ce5d98f7258b5ad59"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/20786a41814a7b72db0378a4f7ac29885606a756"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/479a4b7cb161317cda48b78897b4bf5f1c5e6fa4"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression succs.get(N) is @Nullable	wala-util/src/main/java/com/ibm/wala/util/graph/GraphSlicer.java:290	return succs.get(N).iterator();	2	1	2	2	1	2							Casting is fine, as the code just above ensures that the map contains this entry. A and C add unncessary code, but should give the correct behavior.				agreement
