Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	288	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/f300a217ccab306de218325bfbd4eddb37472b30"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cd523811c30ed778eb5fb2335c0b1889c61d0671"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/b6b15cc152cc5bb21bbcd023d9313f16830f0626"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression event is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/SelectBox.java:544	event.stop();	2	3	1	B contradicts the nullable annotation. Not fully sure whether A or C is better, but C seems most aligned with the intent.			
litiengine	4	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d17790dc2832c50601418cb80470a59f4da8af31"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/09bf6b115680b797f9e0ba6519c296c3e8ec6dc3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3192bbb2a2fa8890f9f5632927793cb1ea54da7a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression Game.info() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/GameWindow.java:73	this.hostControl.setTitle(Game.info().getTitle());	1	2	1	A and C avoid setting a title if there is none. B just makes up a title, which could be fine, but I'm not sure about the string value.			
litiengine	130	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/ad58a0453dbb5193f7225d6c0871e627330488b9"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d75a2a7b8baeeb1aed6776ffe24c353b218e5d2b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0538dc4e0d98c0657dda4cd50ebfb5d45481492d"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression x.getImage() is @Nullable	litiengine/src/de/gurkenlabs/litiengine/resources/ResourceBundle.java:203	x.getName().equals(sprite.getName()) && x.getImage().equals(sprite.getImage()))) {	3	3	1	A makes changes that go beyond the reported error and is pretty complex. B calls isEmpty(), which wasn't called before. C is elegant, concise, and matches my understanding of the intended behavior.			
libgdx	102	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7679df3b7de21454bffdf93ec3848a72c83a53fc"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cf106112af94e5bac915bebe2e724fc43778a6bf"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3fffa1db682006519b41245dda7f02f7327cea12"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'channelDescriptor' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/particles/ParallelArray.java:202	return addChannel(channelDescriptor, null);	3	2	2	A addresses the wrong parameter. B and C raise a runtime error that contradicts the nullable annotation, but may be the best choice here.	1	0	0
eureka	13	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/886f10dd0015bbbbbec36f65f18c2b8f8616ae3d"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/769f98360d473bc6d5371ae273671b218fac2407"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/49a5aabcf851c039e82620b23718567900b45d28"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java:405	overriddenInstanceStatus.name(),	2	3	1	C matches my understanding of intended behavor. A is similar, but unnecessarily adds duplicate code. B skips the logging, which likely isn't intended.			
litiengine	85	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/84af5a9d04b929b7946fa07bc4676d59560e2620"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5f0a1f80c00c497af8dda24d66a7f685fef46b96"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/1b9f861f0df2296fc1be95e2dc4521d2790130c3"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/graphics/animation/Animation.java:180	return this.spritesheet;	3	1	3	A moves the problem to the callers, without editing them; it also makes another, unrelated edit. C is similar, but edits at least one call site; however, it also applies another, unrelated edit. B seems the best, but I'm not 100% if raising a runtime error is intended.	3	0	0
libgdx	319	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/fb1feea938184c7212eacea02dc7bc0c7b48ad18"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3a948b1ff84c2d7ad95f025a2179444eb68c940e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ef0c16896c96bd934be624a587c062c3b8c90740"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'a' where @NonNull is required	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Table.java:986	prefWidth = c.prefWidth.get(a),	3	2	3	Table.add() shows that the actor maybe null, so C seems wrong. A just skips behavior, which also seems wrong. B could be correct, but it's hard to fully understand the intent here.			
glide	10	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/8394ac36eb99e73026025a4c150892c77a75a731"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/8c49105ab8302c7a0e24fa79b9f8f47517ce10ef"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/1daee8b3e2120e0e01d98974d120dfe6957e44df"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression loadData is @Nullable	glide/library/src/main/java/com/bumptech/glide/load/engine/DataCacheGenerator.java:102	cb.onDataFetcherReady(sourceKey, data, loadData.fetcher, DataSource.DATA_DISK_CACHE, sourceKey);	3	1	1	B and C mimick what's done in cancel() just above, which looks good. A adds functionality, but I doubt this it's intended.			
libgdx	175	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/3e3e941290d83626becc01e62e194f8fab390956"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/03869087fe6c83b0f4b1f47bfa3e945c0876aa69"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ae58755254189dd621b5d67991be31627ef566b7"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression node is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g3d/utils/ModelBuilder.java:157	node.parts.add(new NodePart(meshpart, material));	3	3	1	A suggest calling begin(), which doesn't make sense, as begin() sets node to null. B also doesn't make sense, as it replaces a call of node() with an error saying you should call node(). C looks like the intended behavior: node() creates a new node, which can then be used.			
spring-boot	20	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/a19584dcc0dae4f43dce2c07889bd8df3e27cf2a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/803292882474be16f5c6e71ad3bb413400eb0523"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/eb17d89af82f8464621376d32e1ad3ffb8f40f8d"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'this.applicationContext' where @NonNull is required	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/properties/ConfigurationPropertiesBinder.java:237	\t\t\treturn new ConfigurationPropertiesBinder(this.applicationContext);	1	2	2	All three patches raise an exception if the value is null, which seems okay. A does so in the most elegant and concise way.			
