Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)	SCORE (Patch B)	SCORE (Patch C)	Comment	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
eureka	1	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/577b3622e25ccdbf3ee05cdbc003697d1b280831"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/f2091409da37d949b050f416dcfe8c989ac753b1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/eureka/commit/5721aa083059c276e2f2db141e6ff5cbe9413759"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java:44	return holder;	1	3	1	Failing fast seems like the best option here, as returning a null value will lead to crashes elsewhere.  Patch B fixes nullness warnings from returning `@Nullable` but in an incomplete way that would still lead to NPEs.	0	8	0
libgdx	360	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9e65381c908498ddff16cda75dff5cbbacb4673e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/800663930aa514919cdd5e55ef7a1b34c61ecbc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e19fa2a52f3f8d5a6db44feac3617fe602a2ba55"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	2	2	2	I can't find any usages of the zero-arg constructor so this case is hard to judge.  My assumption is that there is some global invariant that WindowStyles constructed with the zero-arg constructor shouldn't really be used in cases where a title font is needed.  So I think it's better to use castToNonNull to fail fast if that global invariant is violated, rather than initializing to a default font and then possibly having something else be broken later.  Possibly, though, the zero-arg constructor should just be deleted?  Patch A at 2 since it still leaves one error, though it'd be nice to know what that was	1	0	0
jadx	89	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/7c84d3924eb8feefcd904710ac4cc23a059a6db8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/2d8656690b06fe8aa58663bdc40a58d5018207eb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c572cb4608cdcc82d21ddcaed44f6cc5efa576cf"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	2	2	2	Another tricky one.  checkInvoke is doing a null check, and I think the best fix would be to add a contract annotation on that method so that NullAway could understand the null check it performs.  castToNonNull is an appropriate fix (Patch A).  I feel developers will be annoyed by the redundant null check in Patches B and C.  But, they may be annoyed by the castToNonNull calls also.  I think Patch A is slightly better, but giving all a 2 for now.			
libgdx	214	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/465c89894cfa0f95ce648e9a463ce88a1cadb8a0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/41b775a520a40266d609500b1ba48f9859e503b4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ce32ee051b72f1c0db919a806ce575fc8c72514f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	2	1	2	I'm not sure why the parameter of addAction is @Nullable; I didn't immediately finding any call sites passing something possibly null.  But, assuming null can be passed, I think it is unexpected, and failing fast with a cast (Patch B) is better than just returning silently.			
jadx	84	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/30861c4de848c48fdcda3cc38b361596dd6c9791"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f6496090589e7e4b5788d4002668fac05d429746"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/3f525ecf7945693e43e1d2671c2515f1e18c3b67"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	3	3	2	I don't think FinallyExtractInfo.startBlock should be `@Nullable`.  Instead, there should be a castToNonNull at https://github.com/Pascal-Joos/jadx/blob/30861c4de848c48fdcda3cc38b361596dd6c9791/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java#L113 and the field should just be non-null.  Still, Patch C with the cast is better than just returning false, since nullness is unexpected and just returning false could mask a bug.			
libgdx	67	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64837f3bcc12d600f0418797b847f22039028dd0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bda6aef932747ec3241263833840f01a4de12d44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cda3771ad7dba8cf493d2318316cf2e46623ece6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	2	3	3	Clearly region is not expected to be null here, so I don't know why the parameter is `@Nullable`.  Probably there should be a castToNonNull somewhere else and the parameter should become `@NonNull`.  But, still Patch A with the cast is better than just returning without doing anything, to avoid masking a bug.	1	0	0
litiengine	22	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/80bc5958f68905f749f891a60fe3e3286168d1de"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/19e39be380d5654747a25efa18a385ed0747ce4c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/425a61b3d361ab90f4f9f99d31b1cb2713f05f63"", ""Github"")"	RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	litiengine/src/de/gurkenlabs/litiengine/environment/EntitySpawner.java:104	return this.spawnpoints;	1	1	3	I'm going to assume the field is `@Nullable` (as opposed to just setting it to an empty list and making it `@NonNull`) for a good reason, like to avoid allocating a list unnecessarily.  For Patch A vs B, I think both are fine, and it's not clear to me whether setting the field or returning an immutable list really make a big difference.  Patch C seems technically correct but still a bad fix since it forces callers to deal with a null result unnecessarily.	0	0	1
litiengine	56	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0a9c3399ce7a83d630ab3424f16c2e6d6d8bc374"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b1ae672df6a2d80e8e119670b13aa508c524491"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3b7a707cbb5200ab842b8ff6a71101fed5bd2e1a"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	3	1	3	Seems clear there is some invariant where if it's in infinite map then its `y` field should be `@NonNull`.  So, better to cast and fail fast than to mask the case where `y` is unexpectedly null.  			
litiengine	76	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f658c9023ffc1bea19a1e41555ea610a75ad42f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/92fb5108ddf0bf0a1a2f4971264c7ced4882eba7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d8f6ff9a8050d5b0f0ffa13c9e13cb4ee60da277"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	1	3	3	Casting seems like the best fix; `getCompatibleImage` only returns null if either width or height is 0, which seems very unlikely in this case and probably unintentional.  Just returning and masking the issue is bad, and Patch B has a bunch of unrelated changes.	1	0	0
libgdx	363	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/130f3aa9ba0732909a12d4a4a394f3794a0ba97e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/df5e460cb9f7449804c250ff8e3daa65160bccbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/89f0868cb2ca8577eb7da6e77735f3d136f29149"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	2	3	I think if `isValidTarget` is true, `target` must be non-null?  If so, an even better fix than Patch B would be a cast with a comment, or at least a comment indicating the null check here is unnecessary.  Patch A and Patch C add unrelated changes and sometimes do null checks on `actor` which I think cannot be null.			
