Benchmark	ID	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE (Patch A)_Michael	SCORE (Patch B)_Michael	SCORE (Patch C)_Michael	Comment_Michael	SCORE (Patch A)_Manu	SCORE (Patch B)_Manu	SCORE (Patch C)_Manu	Comment_Manu	SCORE (Patch A) Consolidated	SCORE (Patch B) Consolidated	SCORE (Patch C) Consolidated	New or changed errors patch A	New or change errors patch B	New or changed errors patch C
libgdx	360	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/9e65381c908498ddff16cda75dff5cbbacb4673e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/800663930aa514919cdd5e55ef7a1b34c61ecbc1"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/e19fa2a52f3f8d5a6db44feac3617fe602a2ba55"", ""Github"")"	METHOD_NO_INIT	initializer method does not guarantee @NonNull field titleFont (line 390) is initialized along all control-flow paths (remember to check for exceptions or early returns).	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/ui/Window.java:393	public WindowStyle() {}	3	2	1	Setting a default font, as done by B and C seems reasonable. B should use an import. A is too complex.	2	2	2	I can't find any usages of the zero-arg constructor so this case is hard to judge.  My assumption is that there is some global invariant that WindowStyles constructed with the zero-arg constructor shouldn't really be used in cases where a title font is needed.  So I think it's better to use castToNonNull to fail fast if that global invariant is violated, rather than initializing to a default font and then possibly having something else be broken later.  Possibly, though, the zero-arg constructor should just be deleted?  Patch A at 2 since it still leaves one error, though it'd be nice to know what that was				1	0	0
jadx	89	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/7c84d3924eb8feefcd904710ac4cc23a059a6db8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/2d8656690b06fe8aa58663bdc40a58d5018207eb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/c572cb4608cdcc82d21ddcaed44f6cc5efa576cf"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression assignInsn is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/regions/LoopRegionVisitor.java:266	\t\tInsnArg iterableArg = assignInsn.getArg(0);	3	1	1	B and C looks like the intended behavior. A may cause runtime error.	2	2	2	Another tricky one.  checkInvoke is doing a null check, and I think the best fix would be to add a contract annotation on that method so that NullAway could understand the null check it performs.  castToNonNull is an appropriate fix (Patch A).  I feel developers will be annoyed by the redundant null check in Patches B and C.  But, they may be annoyed by the castToNonNull calls also.  I think Patch A is slightly better, but giving all a 2 for now.						
libgdx	214	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/465c89894cfa0f95ce648e9a463ce88a1cadb8a0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/41b775a520a40266d609500b1ba48f9859e503b4"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/ce32ee051b72f1c0db919a806ce575fc8c72514f"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression action is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/Actor.java:306	action.setActor(this);	1	3	1	Cast in B contradicts annotation. A and C look fine, but this behavior should probably be documented.	2	1	2	I'm not sure why the parameter of addAction is @Nullable; I didn't immediately finding any call sites passing something possibly null.  But, assuming null can be passed, I think it is unexpected, and failing fast with a cast (Patch B) is better than just returning silently.						
jadx	84	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/30861c4de848c48fdcda3cc38b361596dd6c9791"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/f6496090589e7e4b5788d4002668fac05d429746"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/3f525ecf7945693e43e1d2671c2515f1e18c3b67"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'startBlock' where @NonNull is required	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java:340	\t\tInsnsSlice dupSlice = searchFromFirstBlock(checkBlock, startBlock, extractInfo);	2	2	1	Should never be null, I think, so casting, as done by C is best. A and B are also correct, but handle a never ocurring case.	3	3	2	I don't think FinallyExtractInfo.startBlock should be `@Nullable`.  Instead, there should be a castToNonNull at https://github.com/Pascal-Joos/jadx/blob/30861c4de848c48fdcda3cc38b361596dd6c9791/jadx-core/src/main/java/jadx/core/dex/visitors/finaly/MarkFinallyVisitor.java#L113 and the field should just be non-null.  Still, Patch C with the cast is better than just returning false, since nullness is unexpected and just returning false could mask a bug.						
libgdx	67	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/64837f3bcc12d600f0418797b847f22039028dd0"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/bda6aef932747ec3241263833840f01a4de12d44"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/cda3771ad7dba8cf493d2318316cf2e46623ece6"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression region is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/TextureRegion.java:126	texture = region.texture;	3	1	1	Cast in A contracts the annotation. Assuming the annotation is correct, then defaulting to do nothing (i.e., patch B and C) seems okay.	2	3	3	Clearly region is not expected to be null here, so I don't know why the parameter is `@Nullable`.  Probably there should be a castToNonNull somewhere else and the parameter should become `@NonNull`.  But, still Patch A with the cast is better than just returning without doing anything, to avoid masking a bug.				1	0	0
litiengine	56	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/0a9c3399ce7a83d630ab3424f16c2e6d6d8bc374"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/5b1ae672df6a2d80e8e119670b13aa508c524491"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/3b7a707cbb5200ab842b8ff6a71101fed5bd2e1a"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - this.y	litiengine/src/de/gurkenlabs/litiengine/environment/tilemap/xml/MapObject.java:338	return this.y - map.getChunkOffsetY() * map.getTileHeight();	2	1	2	From setX and setY, it seems that isInfiniteMap implies a non-null value, i.e., okay to cast, as done by B. A and C are also correct, but introduce unnecessary checks.	3	1	3	Seems clear there is some invariant where if it's in infinite map then its `y` field should be `@NonNull`.  So, better to cast and fail fast than to mask the case where `y` is unexpectedly null.  						
litiengine	76	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/f658c9023ffc1bea19a1e41555ea610a75ad42f3"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/92fb5108ddf0bf0a1a2f4971264c7ced4882eba7"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/d8f6ff9a8050d5b0f0ffa13c9e13cb4ee60da277"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression buffer is @Nullable	litiengine/src/de/gurkenlabs/litiengine/graphics/CreatureShadowImageEffect.java:70	final Graphics2D graphics = buffer.createGraphics();	3	3	1	Similar to litiengine-78. B makes too many not-asked-for changes.	1	3	3	Casting seems like the best fix; `getCompatibleImage` only returns null if either width or height is 0, which seems very unlikely in this case and probably unintentional.  Just returning and masking the issue is bad, and Patch B has a bunch of unrelated changes.				1	0	0
libgdx	363	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/130f3aa9ba0732909a12d4a4a394f3794a0ba97e"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/df5e460cb9f7449804c250ff8e3daa65160bccbd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/89f0868cb2ca8577eb7da6e77735f3d136f29149"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression target is @Nullable	libgdx/gdx/src/com/badlogic/gdx/scenes/scene2d/utils/DragAndDrop.java:170	target.actor.stageToLocalCoordinates(tmpVector.set(stageX, stageY));	3	1	2	Check done by B is similar to what's done a few lines above. A is similar, but also edits another, not-asked-for location. C checks more than necessary to fix the warning, but otherwise okay.	3	2	3	I think if `isValidTarget` is true, `target` must be non-null?  If so, an even better fix than Patch B would be a cast with a comment, or at least a comment indicating the null check here is unnecessary.  Patch A and Patch C add unrelated changes and sometimes do null checks on `actor` which I think cannot be null.						
libgdx	41	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/7a4848e583469b5863992f0654e74eba9d250795"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/4f98d384b115305449e5d286876507c6f73f9f28"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/libgdx/commit/833f496177ac68858a399d6e2a2ebd64e12c7f75"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression sprite is @Nullable	libgdx/gdx/src/com/badlogic/gdx/graphics/g2d/ParticleEmitter.java:441	float spriteWidth = sprite.getWidth();	1	3	2	sprite seems to be non-null, so casting is fine. B skips behavior. C is okay, but not very elegant.	1	3	3	`sprite` cannot be null here; NullAway only warns since it cannot prove the switch is exhaustive, but it is.  So casting is good, and fixes that imply `sprite` might be null are bad.						
litiengine	110	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/fc65c327feed9fc54830c93ff0e8c54f40303ff2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/74629d4d6a948ec4c4a48ad21324023e1fc97f9c"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/litiengine/commit/464a242ea4eba84a18a76232f441e69a4a64cc2a"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.currentText is @Nullable	litiengine/src/de/gurkenlabs/litiengine/gui/SpeechBubble.java:271	while (measurer.getPosition() < this.currentText.length()) {	3	1	3	Skipping when currentText is null is consistent with other locations handling this case, so B looks best. A has a probably unintended side-effect. C could be okay, if createBubbleImage should be called only when the text is non-null (but I don't see many signs for that assumption).	3	3	1	`this.currentText` cannot be null; we're in a private method called from one place where `this.currentText` is guaranteed to be non-null.  (`@RequiresNonNull` could have been helpful here.)  casts are fine, though I would have preferred casting once and assigning to a local.  Patches A and B, which imply the field might be null, are bad.				0	1	0
