Benchmark	ID	Tool A	Tool B	Tool C	Patch A	Patch B	Patch C	Type	Message	Path	Expression	SCORE(Patch A)	SCORE(Patch B)	SCORE(Patch C)	Comment
spring-boot	70	hash_agent_baseline	hash_advanced	hash_basic	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/a99895657d3df47f86b62d2e6f465534e510d8a2"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/af1d22e213a27acafbe0017c3fed9612e6402987"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/spring-boot/commit/4895c0df8876caf44ab311fd543d8df0d479e9af"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression this.compiler is @Nullable	spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/reactive/result/view/MustacheView.java:90	\t\t\tTemplate template = this.compiler.compile(reader);				
wala-util	23	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/f981e4006414b45c1d660b43cb004fc89770132f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/8aa2bd4569b2ec0e42bb20703e58e33b1492bf87"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/4afe103971ae78ca089e544325fc6ff74062b8a7"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - t1	wala-util/src/main/java/com/ibm/wala/util/graph/traverse/DFS.java:134	      return (t1 - t2);				
mockito	28	hash_agent_baseline	hash_basic	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/2400aba46b3fc6b8659925a5c70c1a0a90bb802d"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/5dddc80ea649f3de10058836946d25f1f40bf752"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/013b044d1432ff30e1028e7fac258f690990be1b"", ""Github"")"	PASS_NULLABLE	passing @Nullable parameter 'Modifier.isStatic(method.getModifiers()) ? null : target' where @NonNull is required	mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java:157	    assureArguments(				
glide	35	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/31d2c32e83b31a50c3e4e2f35ec64d8fca5e7d4b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/087eaa9e4632be1ffc34179ba09f76a7f354464b"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/40e6a4172ff3f166e9555e6c703b84b215db7917"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/load/engine/DecodeJob.java:736	      toEncode = null;				
wala-util	60	hash_basic	hash_agent_baseline	hash_advanced	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/757a3e98f11e3d2121ccbf56e4d7a69c857f048f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/0d01edc3728deb23c6f6aacc917a51277cccc464"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/wala-util/commit/2a086e74fb36ffdd842495405a65298eb2327035"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression densePart is @Nullable	wala-util/src/main/java/com/ibm/wala/util/intset/SemiSparseMutableIntSet.java:492	    return densePart.getOffset() <= i && densePart.length() > i;				
mockito	19	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/50edfe1749300ce0a4f3eafa3d83cf87db33c0cb"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/6da9791bddccd3843de3d1868b0fa48890c19600"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/mockito/commit/442cdfba1290ce69aa9cf1e250d56ec80f847da2"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression value is @Nullable	mockito/src/main/java/org/mockito/internal/stubbing/answers/Returns.java:50	    return value.getClass().getSimpleName();				
conductor	12	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/c2b4821bad2e065238f2915ac0cc8d65a2bdfd35"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/b6213bb7b7b657fcecabee7b5e0d8aa27a409bdd"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/conductor/commit/cc65295b119133ef882a21ee03443f543bbcfd97"", ""Github"")"	DEREFERENCE_NULLABLE	enhanced-for expression joinOn is @Nullable	conductor/core/src/main/java/com/netflix/conductor/core/execution/tasks/Join.java:50	        for (String joinOnRef : joinOn) {				
zuul	19	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/9b09ee09d477c7aef62e18e66cf56930733ffe74"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/f04d7a66fc0e89dff379d2bf6e78299f934770ce"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/zuul/commit/16e388971a4eb146409dc7a1c84cef7b9317d4e9"", ""Github"")"	UNBOX_NULLABLE	unboxing of a @Nullable value - originTimeout == null ? requestTimeout : originTimeout	zuul/zuul-core/src/main/java/com/netflix/zuul/netty/timeouts/OriginTimeoutManager.java:70	      computedTimeout = originTimeout == null ? requestTimeout : originTimeout;				
jadx	80	hash_advanced	hash_basic	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/e78eb384272ef481a5956b5830070db5e8a64228"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/310bc1b40b08c1745e6fc2d302b9ca02e19c4e5a"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/jadx/commit/726d5e2cc562fd7320cf5d9f76c27d337eb2aeeb"", ""Github"")"	DEREFERENCE_NULLABLE	dereferenced expression fixInfoMap is @Nullable	jadx/jadx-core/src/main/java/jadx/core/dex/visitors/ShadowFieldVisitor.java:145	\t\tFieldFixInfo fieldFixInfo = fixInfoMap.get(type.getObject());				
glide	84	hash_basic	hash_advanced	hash_agent_baseline	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/7dbfbc99cf6f55024d25705e288adf2c171893a8"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/50d9fced6b72112205b6e7c89873186fddf6039f"", ""Github"")"	"=HYPERLINK(""https://github.com/Pascal-Joos/glide/commit/adb3433ffd7bfdb0eda7b839df3cab058230565d"", ""Github"")"	ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	glide/library/src/main/java/com/bumptech/glide/util/ExceptionCatchingInputStream.java:136	    wrapped = null;				
