project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	resolving_patches_no_new_errors_no_failing_tests	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	21	1	20	17	3	0	17	2569.8319999999994	102.79327999999998	3499.549	234	9.36	1586439	63457.56	2.918933	0.11675732
eureka	24	24	0	24	21	3	1	20	1738.265	72.42770833333334	4722.432	174	7.25	237463	9894.291666666666	0.8623660000000001	0.03593191666666667
glide	87	83	7	75	60	15	0	60	2137.833	24.572793103448276	4545.484	390	4.482758620689655	256553	2948.885057471264	1.0797779999999997	0.012411241379310342
gson	32	28	0	23	17	6	2	17	1016.6579999999998	31.770562499999993	1426.094	118	3.6875	144197	4506.15625	0.49942999999999993	0.015607187499999998
jadx	117	107	14	93	58	35	0	58	11543.930999999993	98.66607692307687	18606.693	1412	12.068376068376068	3892979	33273.32478632479	9.416857999999994	0.08048596581196577
libgdx	453	375	14	357	286	75	0	286	42038.623000000014	92.80049227373071	54315.728	5103	11.264900662251655	7287019	16086.134657836645	24.886504000000016	0.054937094922737344
litiengine	152	146	17	129	95	34	0	95	8935.770999999993	58.787967105263114	11839.697	1215	7.993421052631579	2201411	14482.967105263158	6.310748999999998	0.04151808552631577
mockito	36	36	5	31	21	10	3	19	1651.6849999999997	45.88013888888888	6125.613	221	6.138888888888889	262238	7284.388888888889	0.893875	0.02482986111111111
retrofit	13	13	0	13	10	3	0	10	367.91999999999996	28.30153846153846	644.658	27	2.076923076923077	41162	3166.3076923076924	0.18211499999999997	0.014008846153846151
spring-boot	84	81	2	79	61	18	3	60	4331.032999999999	51.55991666666666	22388.785	303	3.607142857142857	245610	2923.9285714285716	0.9985249999999999	0.01188720238095238
wala-util	73	49	2	47	31	16	0	31	3968.221	54.35919178082192	4748.828	1454	19.91780821917808	630771	8640.698630136987	2.218759999999999	0.030393972602739714
zuul	23	23	1	22	19	3	0	19	871.0759999999999	37.872869565217385	3110.271	107	4.6521739130434785	147846	6428.086956521739	0.5326869999999999	0.023160304347826084
total	1119	986	63	913	696	221	9	692	81170.848	72.5387381590706	135973.83200000002	10758	9.613941018766756	16933688	15132.875781948169	50.80058000000001	0.04539819481680073
