project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	resolving_patches_no_new_errors_no_failing_tests	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	avg_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	25	1	24	23	1	3	20	429.873	17.19492	1884.091	25	1.0	23659	946.36	0.105668	0.00422672
eureka	24	23	1	21	18	4	1	17	260.891	10.870458333333334	2764.459	24	1.0	20811	867.125	0.08440700000000001	0.0035169583333333337
glide	87	86	2	78	68	14	0	68	674.1970000000001	7.749390804597702	3613.955	87	1.0	60045	690.1724137931035	0.22509600000000002	0.0025873103448275864
gson	32	29	1	27	26	1	0	26	330.158	10.3174375	888.56	29	0.90625	27423	856.96875	0.122961	0.00384253125
jadx	117	115	16	90	82	14	14	68	1474.643	12.603786324786325	9362.731	117	1.0	83581	714.3675213675214	0.303013	0.0025898547008547006
libgdx	453	447	56	344	293	71	0	293	8658.809	19.114368653421632	25098.55	453	1.0	456942	1008.7019867549669	1.9722690000000012	0.004353794701986757
litiengine	152	150	17	125	116	12	11	106	2097.9160000000006	13.802078947368425	7712.262	151	0.993421052631579	103989	684.1381578947369	0.39250199999999996	0.00258225
mockito	36	33	3	25	21	6	5	16	387.448	10.762444444444444	2944.407	35	0.9722222222222222	24713	686.4722222222222	0.08774399999999999	0.002437333333333333
retrofit	13	13	0	13	13	0	0	13	163.827	12.602076923076924	496.634	13	1.0	18141	1395.4615384615386	0.08677900000000001	0.006675307692307693
spring-boot	84	84	11	67	53	17	11	46	1755.7950000000005	20.902321428571433	19983.348	84	1.0	55364	659.0952380952381	0.18818700000000005	0.002240321428571429
wala-util	73	73	7	59	52	10	0	52	687.8269999999997	9.422287671232873	2048.517	73	1.0	50729	694.917808219178	0.18350199999999997	0.00251372602739726
zuul	23	23	5	16	12	4	4	10	228.49899999999997	9.934739130434782	1936.059	23	1.0	21512	935.304347826087	0.0904	0.003930434782608696
total	1119	1101	120	889	777	154	49	735	17149.883	15.326079535299376	78733.57299999999	1114	0.9955317247542449	946909	846.2100089365505	3.8425280000000006	0.003433894548704201
