project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	percentage_resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	resolving_patches_no_new_errors_no_failing_tests	percentage_failing_test_patches	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	uncached_input_tokens	cached_input_tokens	completion_tokens	avg_tokens	avg_uncached_input_tokens	avg_cached_input_tokens	avg_completion_tokens	total_monetary_cost	avg_monetary_cost
eureka	24	24	0	24	21	87.5	3	1	20	4.166666666666666	1738.265	72.42770833333334	4722.432	174	7.25	237463	171386	1280	64797	9894.291666666666	7141.083333333333	53.333333333333336	2699.875	0.8623660000000001	0.03593191666666667
glide	87	83	7	75	60	68.96551724137932	15	0	60	0.0	2137.833	24.572793103448276	4545.484	390	4.482758620689655	256553	169801	0	86752	2948.885057471264	1951.7356321839081	0.0	997.1494252873563	1.0797779999999997	0.012411241379310342
gson	32	28	0	23	17	53.125	6	2	17	6.25	1016.6579999999998	31.770562499999993	1426.094	118	3.6875	144197	107719	0	36478	4506.15625	3366.21875	0.0	1139.9375	0.49942999999999993	0.015607187499999998
jadx	117	107	14	93	58	49.572649572649574	35	0	58	0.0	11543.930999999993	98.66607692307687	18606.693	1412	12.068376068376068	3892979	3323648	43648	525683	33273.32478632479	28407.247863247863	373.05982905982904	4493.017094017094	9.416857999999994	0.08048596581196577
libgdx	453	375	14	357	286	63.13465783664459	75	0	286	0.0	42038.623000000014	92.80049227373071	54315.728	5103	11.264900662251655	7287019	5318306	146688	1822025	16086.134657836645	11740.189845474613	323.81456953642385	4022.130242825607	24.886504000000016	0.054937094922737344
mockito	36	36	5	31	21	58.333333333333336	10	3	19	8.333333333333332	1651.6849999999997	45.88013888888888	6125.613	221	6.138888888888889	262238	188154	8320	65764	7284.388888888889	5226.5	231.11111111111111	1826.7777777777778	0.893875	0.02482986111111111
spring-boot	84	81	2	79	61	72.61904761904762	18	3	60	3.571428571428571	4331.032999999999	51.55991666666666	22388.785	303	3.607142857142857	245610	164414	1920	79276	2923.9285714285716	1957.3095238095239	22.857142857142858	943.7619047619048	0.9985249999999999	0.01188720238095238
wala-util	73	49	2	47	31	42.465753424657535	16	0	31	0.0	3968.221	54.35919178082192	4748.828	1454	19.91780821917808	630771	466009	1152	163610	8640.698630136987	6383.684931506849	15.780821917808218	2241.2328767123286	2.218759999999999	0.030393972602739714
zuul	23	23	1	22	19	82.6086956521739	3	0	19	0.0	871.0759999999999	37.872869565217385	3110.271	107	4.6521739130434785	147846	106933	1024	39889	6428.086956521739	4649.260869565217	44.52173913043478	1734.304347826087	0.5326869999999999	0.023160304347826084
total	929	806	45	751	574	61.786867599569426	181	9	570	0.9687836383207751	69297.32500000001	74.59346071044135	119989.928	9282	9.991388589881593	13104676	10016370	204032	2884274	14106.21743810549	10781.883745963401	219.6254036598493	3104.708288482239	41.38878300000001	0.04455197308934339
