project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	percentage_resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	resolving_patches_no_new_errors_no_failing_tests	percentage_failing_test_patches	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	uncached_input_tokens	cached_input_tokens	completion_tokens	avg_tokens	avg_uncached_input_tokens	avg_cached_input_tokens	avg_completion_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	24	0	24	22	88.0	2	3	19	12.0	2096.548	83.86192	3276.191	225	9.0	1298120	260725	985216	52179	51924.8	10429.0	39408.64	2087.16	0.9708482500000002	0.03883393000000001
eureka	24	24	1	23	21	87.5	2	3	18	12.5	1891.391	78.80795833333333	6334.702	244	10.166666666666666	1892936	298973	1540864	53099	78872.33333333333	12457.208333333334	64202.666666666664	2212.4583333333335	1.0973142499999997	0.04572142708333332
glide	87	83	6	76	65	74.71264367816092	11	0	65	0.0	6661.802999999999	76.57244827586206	9137.469	777	8.931034482758621	4561371	1106975	3290752	163644	52429.55172413793	12723.850574712644	37824.73563218391	1880.9655172413793	3.4315027500000017	0.039442560344827605
gson	32	30	1	29	28	87.5	1	2	27	6.25	2505.001	78.28128125	2922.291	386	12.0625	3097323	509783	2497536	90004	96791.34375	15930.71875	78048.0	2812.625	1.8494607500000002	0.057795648437500007
jadx	117	114	14	99	80	68.37606837606837	19	15	68	12.82051282051282	10767.090999999999	92.02641880341879	19069.412	1103	9.427350427350428	9074537	1811129	6952960	310448	77560.1452991453	15479.735042735043	59427.00854700855	2653.4017094017095	6.237511250000001	0.05331206196581197
libgdx	453	442	23	413	343	75.71743929359823	71	3	340	0.6622516556291391	40454.62099999999	89.30379911699778	56397.649	3942	8.701986754966887	26027742	6000296	19142784	884662	57456.384105960264	13245.686534216336	42257.801324503314	1952.896247240618	18.73983799999999	0.04136829580573949
litiengine	152	146	5	140	117	76.97368421052632	23	3	114	1.9736842105263157	9923.362000000005	65.2852763157895	13079.944	1428	9.394736842105264	9403584	2544186	6554240	305158	61865.68421052631	16738.065789473683	43120.0	2007.6184210526317	7.051092499999999	0.04638876644736842
mockito	36	33	0	32	28	77.77777777777779	4	6	22	16.666666666666664	2564.991	71.24975	5061.109	333	9.25	1637178	381704	1191936	63538	45477.166666666664	10602.888888888889	33109.333333333336	1764.9444444444443	1.2615020000000001	0.035041722222222224
retrofit	13	13	0	13	13	100.0	0	0	13	0.0	848.059	65.23530769230769	1206.89	110	8.461538461538462	701813	140840	542080	18893	53985.61538461538	10833.846153846154	41698.46153846154	1453.3076923076924	0.43273999999999996	0.0332876923076923
spring-boot	84	79	6	73	60	71.42857142857143	13	6	55	7.142857142857142	11267.588999999998	134.13796428571428	25300.157	876	10.428571428571429	5129386	1185777	3752960	190649	61064.119047619046	14116.392857142857	44678.09523809524	2269.6309523809523	3.8578312500000003	0.045926562500000004
wala-util	73	69	6	63	57	78.08219178082192	6	0	57	0.0	4862.800000000001	66.613698630137	6097.995	624	8.547945205479452	3588088	792829	2651904	143355	49151.890410958906	10860.671232876712	36327.45205479452	1963.7671232876712	2.75607425	0.03775444178082192
zuul	23	23	2	21	19	82.6086956521739	2	1	18	4.3478260869565215	1659.3899999999999	72.14739130434782	3720.056	211	9.173913043478262	1173763	316904	812672	44187	51033.17391304348	13778.434782608696	35333.565217391304	1921.1739130434783	0.9395840000000002	0.04085147826086957
total	1119	1080	64	1006	853	76.22877569258266	154	42	816	3.753351206434316	95502.64599999998	85.34642180518318	151603.86500000002	10259	9.168007149240394	67585841	15350121	49915904	2319816	60398.42806076854	13717.713136729222	44607.59964253798	2073.1152815013406	48.62529924999999	0.04345424419124217
