project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	percentage_resolving_patches_and_no_new_errors	trigger_new_error_patches	failing_test_patches	resolving_patches_no_new_errors_no_failing_tests	percentage_failing_test_patches	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	uncached_input_tokens	cached_input_tokens	completion_tokens	avg_tokens	avg_uncached_input_tokens	avg_cached_input_tokens	avg_completion_tokens	total_monetary_cost	avg_monetary_cost
conductor	25	25	1	24	23	92.0	1	3	20	12.0	429.873	17.19492	1884.091	25	1.0	23659	14963	0	8696	946.36	598.52	0.0	347.84	0.105668	0.00422672
eureka	24	23	1	21	18	75.0	4	1	17	4.166666666666666	260.891	10.870458333333334	2764.459	24	1.0	20811	14138	0	6673	867.125	589.0833333333334	0.0	278.0416666666667	0.08440700000000001	0.0035169583333333337
glide	87	86	2	78	68	78.16091954022988	14	0	68	0.0	674.1970000000001	7.749390804597702	3613.955	87	1.0	60045	42899	0	17146	690.1724137931035	493.0919540229885	0.0	197.08045977011494	0.22509600000000002	0.0025873103448275864
gson	32	29	1	27	26	81.25	1	0	26	0.0	330.158	10.3174375	888.56	29	0.90625	27423	17288	0	10135	856.96875	540.25	0.0	316.71875	0.122961	0.00384253125
jadx	117	115	16	90	82	70.08547008547008	14	14	68	11.965811965811966	1474.643	12.603786324786325	9362.731	117	1.0	83581	60892	0	22689	714.3675213675214	520.4444444444445	0.0	193.92307692307693	0.303013	0.0025898547008547006
libgdx	453	447	56	344	293	64.67991169977924	71	0	293	0.0	8658.809	19.114368653421632	25098.55	453	1.0	456942	296822	0	160120	1008.7019867549669	655.2362030905077	0.0	353.46578366445914	1.9722690000000012	0.004353794701986757
litiengine	152	150	17	125	116	76.31578947368422	12	11	106	7.236842105263158	2097.9160000000006	13.802078947368425	7712.262	151	0.993421052631579	103989	73989	0	30000	684.1381578947369	486.76973684210526	0.0	197.3684210526316	0.39250199999999996	0.00258225
mockito	36	33	3	25	21	58.333333333333336	6	5	16	13.88888888888889	387.448	10.762444444444444	2944.407	35	0.9722222222222222	24713	18216	0	6497	686.4722222222222	506.0	0.0	180.47222222222223	0.08774399999999999	0.002437333333333333
retrofit	13	13	0	13	13	100.0	0	0	13	0.0	163.827	12.602076923076924	496.634	13	1.0	18141	10815	0	7326	1395.4615384615386	831.9230769230769	0.0	563.5384615384615	0.08677900000000001	0.006675307692307693
spring-boot	84	84	11	67	53	63.095238095238095	17	11	46	13.095238095238097	1755.7950000000005	20.902321428571433	19983.348	84	1.0	55364	41767	0	13597	659.0952380952381	497.2261904761905	0.0	161.86904761904762	0.18818700000000005	0.002240321428571429
wala-util	73	73	7	59	52	71.23287671232876	10	0	52	0.0	687.8269999999997	9.422287671232873	2048.517	73	1.0	50729	37005	0	13724	694.917808219178	506.9178082191781	0.0	188.0	0.18350199999999997	0.00251372602739726
zuul	23	23	5	16	12	52.17391304347826	4	4	10	17.391304347826086	228.49899999999997	9.934739130434782	1936.059	23	1.0	21512	14254	0	7258	935.304347826087	619.7391304347826	0.0	315.5652173913044	0.0904	0.003930434782608696
total	1119	1101	120	889	777	69.43699731903486	154	49	735	4.378909740840036	17149.883	15.326079535299376	78733.57299999999	1114	0.9955317247542449	946909	643048	0	303861	846.2100089365505	574.6630920464701	0.0	271.5469168900804	3.8425280000000006	0.003433894548704201
