approach,outcome,n_files,count
Advanced,all,1,787
Advanced,all,2,76
Advanced,all,3,39
Advanced,all,4,35
Advanced,all,5,15
Advanced,all,6,12
Advanced,all,7,4
Advanced,all,8,8
Advanced,all,9,3
Advanced,all,10,2
Advanced,all,11,3
Advanced,all,12,1
Advanced,all,13,1
Advanced,resolved,1,634
Advanced,resolved,2,32
Advanced,resolved,3,21
Advanced,resolved,4,4
Advanced,resolved,5,2
Advanced,resolved,6,1
Advanced,resolved,7,1
Advanced,resolved,8,1
Advanced,resolved,9,0
Advanced,resolved,10,0
Advanced,resolved,11,0
Advanced,resolved,12,0
Advanced,resolved,13,0
Advanced,resolved_no_fail,1,630
Advanced,resolved_no_fail,2,32
Advanced,resolved_no_fail,3,21
Advanced,resolved_no_fail,4,4
Advanced,resolved_no_fail,5,2
Advanced,resolved_no_fail,6,1
Advanced,resolved_no_fail,7,1
Advanced,resolved_no_fail,8,1
Advanced,resolved_no_fail,9,0
Advanced,resolved_no_fail,10,0
Advanced,resolved_no_fail,11,0
Advanced,resolved_no_fail,12,0
Advanced,resolved_no_fail,13,0
Basic,all,1,1100
Basic,all,2,1
Basic,all,3,0
Basic,all,4,0
Basic,all,5,0
Basic,all,6,0
Basic,all,7,0
Basic,all,8,0
Basic,all,9,0
Basic,all,10,0
Basic,all,11,0
Basic,all,12,0
Basic,all,13,0
Basic,resolved,1,777
Basic,resolved,2,0
Basic,resolved,3,0
Basic,resolved,4,0
Basic,resolved,5,0
Basic,resolved,6,0
Basic,resolved,7,0
Basic,resolved,8,0
Basic,resolved,9,0
Basic,resolved,10,0
Basic,resolved,11,0
Basic,resolved,12,0
Basic,resolved,13,0
Basic,resolved_no_fail,1,735
Basic,resolved_no_fail,2,0
Basic,resolved_no_fail,3,0
Basic,resolved_no_fail,4,0
Basic,resolved_no_fail,5,0
Basic,resolved_no_fail,6,0
Basic,resolved_no_fail,7,0
Basic,resolved_no_fail,8,0
Basic,resolved_no_fail,9,0
Basic,resolved_no_fail,10,0
Basic,resolved_no_fail,11,0
Basic,resolved_no_fail,12,0
Basic,resolved_no_fail,13,0
Agent Baseline (per-patch),all,1,1044
Agent Baseline (per-patch),all,2,22
Agent Baseline (per-patch),all,3,7
Agent Baseline (per-patch),all,4,2
Agent Baseline (per-patch),all,5,1
Agent Baseline (per-patch),all,6,0
Agent Baseline (per-patch),all,7,1
Agent Baseline (per-patch),all,8,0
Agent Baseline (per-patch),all,9,0
Agent Baseline (per-patch),all,10,0
Agent Baseline (per-patch),all,11,0
Agent Baseline (per-patch),all,12,0
Agent Baseline (per-patch),all,13,0
Agent Baseline (per-patch),resolved,1,841
Agent Baseline (per-patch),resolved,2,8
Agent Baseline (per-patch),resolved,3,4
Agent Baseline (per-patch),resolved,4,0
Agent Baseline (per-patch),resolved,5,0
Agent Baseline (per-patch),resolved,6,0
Agent Baseline (per-patch),resolved,7,0
Agent Baseline (per-patch),resolved,8,0
Agent Baseline (per-patch),resolved,9,0
Agent Baseline (per-patch),resolved,10,0
Agent Baseline (per-patch),resolved,11,0
Agent Baseline (per-patch),resolved,12,0
Agent Baseline (per-patch),resolved,13,0
Agent Baseline (per-patch),resolved_no_fail,1,804
Agent Baseline (per-patch),resolved_no_fail,2,8
Agent Baseline (per-patch),resolved_no_fail,3,4
Agent Baseline (per-patch),resolved_no_fail,4,0
Agent Baseline (per-patch),resolved_no_fail,5,0
Agent Baseline (per-patch),resolved_no_fail,6,0
Agent Baseline (per-patch),resolved_no_fail,7,0
Agent Baseline (per-patch),resolved_no_fail,8,0
Agent Baseline (per-patch),resolved_no_fail,9,0
Agent Baseline (per-patch),resolved_no_fail,10,0
Agent Baseline (per-patch),resolved_no_fail,11,0
Agent Baseline (per-patch),resolved_no_fail,12,0
Agent Baseline (per-patch),resolved_no_fail,13,0
