project	total_target_errors	generated_patches	error_introducing_patches	resolving_patches	resolving_patches_and_no_new_errors	trigger_new_error_patches	remaining_errors	percentage_error_reduction	total_test_failures	percentage_failed_tests_from_total_tests	total_execution_time_sec	avg_execution_time_sec	full_scaffold_execution_time_in_sec	total_agent_cycles	avg_agent_cycles	total_tokens	uncached_input_tokens	cached_input_tokens	completion_tokens	avg_tokens	avg_uncached_input_tokens	avg_cached_input_tokens	avg_completion_tokens	total_monetary_cost	avg_monetary_cost
eureka	24	24	0	24	21	3	3	87.5	1	0.8620689655172413	729.548	30.397833333333335	1178.338	174	7.25	81040	64869	5632	10539	3376.6666666666665	2702.875	234.66666666666666	439.125	0.18718100000000001	0.007799208333333334
glide	87	83	7	75	54	21	24	72.41379310344827	0	0.0	1193.4489999999998	13.717804597701148	2197.579	390	4.482758620689655	83024	59578	0	23446	954.2988505747127	684.8045977011494	0.0	269.4942528735632	0.308936	0.003550988505747126
gson	32	25	0	25	14	11	14	56.25	0	0.0	553.1669999999999	17.286468749999997	901.461	75	2.34375	40103	30463	0	9640	1253.21875	951.96875	0.0	301.25	0.13448	0.0042025
jadx	117	106	19	87	54	33	60	48.717948717948715	0	0.0	5918.406999999997	50.58467521367519	7217.017	1433	12.247863247863247	2298085	2057745	56192	184148	19641.752136752137	17587.5641025641	480.2735042735043	1573.91452991453	4.420691999999997	0.03778369230769228
libgdx	453	358	12	343	203	142	152	66.44591611479028	0	0.0	26662.40799999999	58.857412803531986	32250.204	4822	10.64459161147903	3543502	2620458	75136	847908	7822.3002207505515	5784.675496688742	165.86313465783664	1871.7615894039734	11.764067	0.025969242825607065
mockito	36	35	6	29	17	12	17	52.77777777777778	34	1.6275730014360938	796.492	22.124777777777776	3590.372	208	5.777777777777778	52956	42165	0	10791	1471.0	1171.25	0.0	299.75	0.160617	0.004461583333333334
spring-boot	84	79	2	77	57	20	24	71.42857142857143	0	0.0	2709.3439999999982	32.25409523809522	4349.356	303	3.607142857142857	43287	30408	1280	11599	515.3214285714286	362.0	15.238095238095237	138.08333333333334	0.154161	0.0018352499999999999
wala-util	73	49	2	47	28	19	42	42.465753424657535	0	0.0	2230.0609999999992	30.5487808219178	2642.993	1451	19.876712328767123	191234	142151	0	49083	2619.6438356164385	1947.2739726027398	0.0	672.3698630136986	0.668518	0.009157780821917807
zuul	23	22	1	21	18	3	4	82.6086956521739	0	0.0	413.6869999999999	17.986391304347823	709.659	107	4.6521739130434785	27833	20850	0	6983	1210.1304347826087	906.5217391304348	0.0	303.60869565217394	0.095893	0.004169260869565218
total	929	781	49	728	466	264	340	63.40150699677072	35	0.2552881108679796	41206.56299999998	44.35582669537135	55036.97900000001	8963	9.648008611410118	6361064	5068687	138240	1154137	6847.216361679225	5456.067814854682	148.80516684607105	1242.3433799784714	17.894544999999994	0.01926215823466092
